"text","id","date","lang","source","predictions"
"Il faudrait remonter à 2023, et se demander pourquoi Joe Biden n’a pas cédé sa place.","www_lapresse_ca_elections-americaines_chroniques_2024-11-04_presidentielle-americaine_l-heure-du-bilan-de-la-campagne_php_20241104_141401","2024-11-04","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Il faut en même temps régler la qualité et protéger la santé de la population.","441320HAN320-12773426","2024-05-29","FR","parliament","{""themes"":""health"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Il n'y a aucun Québécois ni aucune Québécoise aujourd'hui qui n'a pas d'assurance-médicaments.","441309HAN309-12722864","2024-05-06","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Il n’y avait pas de données.","441286HAN286-12607971","2024-02-27","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Il prétend ignorer l'incidence probable de cette hausse d'impôt sur les Canadiens de la classe moyenne, qui seront les seuls à la subir.","441333HAN333-12830848","2024-06-17","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Il y a aussi le déficit de 40 milliards de dollars; ce n'est pas banal.","441316HAN316-12753007","2024-05-23","FR","parliament","{""themes"":""macroeconomics"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Ils ont finalement reçu, 30 jours plus tard, une lettre qui disait que la subvention leur était refusée.","441278HAN278-12569575","2024-02-08","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Ils veulent seulement gagner », conclut Mme Brathwaite.","www_ledevoir_com_monde_etats-unis_818692_moment-obama-kamala-harris_20240824_070351","2024-08-24","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"In 2010, Canada agreed to buy 65 F-35s (with a total lifetime cost estimated to be US$29.3 billion by the parliamentary budget officer).","nationalpost_com_opinion_trudeau-hopes-to-reach-nato-target-with-a-sprinkling-of-pixie-dust-and-a-dash-of-good-luck_20240721_093350","2024-07-21","EN","headlines","{""themes"":""macroeconomics"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"In 2023, the U.S. produced an average of 12.9 million barrels per day of its own crude, yet consumed an average of 20.2 million barrels.","www_theglobeandmail_com_business_economy_article-canada-us-trump-tariffs-trade-war-strategy__20250118_081328","2025-01-18","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"In another section of the Midas story, he becomes fearful of his power and embraces his beautiful daughter, who is immediately transformed into a golden statue.","441373HAN373-13004754","2024-11-21","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"In fact, none other than the B.C.","441324HAN324-12795220","2024-06-04","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"In his address to the nation, Putin said that Russia has responded to the most difficult challenges and will be moving forward next year.","www_cbc_ca_news_world_new-years-eve-world-celebrations-1_7420758_20241231_204425","2024-12-31","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.","vancouversun_com_news_local-news_bc-hydrogen-highway-new-projects_20240621_225347","2024-06-21","EN","headlines","{""themes"":[""energy"",""transportation""],""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Instead, he said these situations are usually co-ordinated by emergency services and insurance companies.","montrealgazette_com_news_local-news_what-to-do-if-you-get-caught-in-a-flood-while-driving_20240718_045352","2024-07-18","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Israel's campaign in response has killed 42,438 Palestinians and injured 99,246 more, according to Gaza's health ministry.","www_cbc_ca_news_world_sinwar-death-reports-israel-1_7354642_20241017_153353","2024-10-17","EN","headlines","{""themes"":[""governments_governance"",""health""],""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"It almost did not matter which party one was in, he was generally approved.","441319HAN319-12768911","2024-05-28","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"It is a huge opportunity, and it is one we should not miss.","441318HAN318-12764923","2024-05-27","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"It is time for Canada to get serious about the reality facing our planet and our species, and have the courage to know that as one of the largest countries on earth, we face and will face the largest impact.","441366HAN366-12975009","2024-11-05","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"It states the local mosque carried a “strong influence” on several of the school’s staff members.","montrealgazette_com_news_explainer-what-happened-at-the-montreal-school-where-11-teachers-were-suspended_20241024_104353","2024-10-24","EN","headlines","{""themes"":[""rights_liberties_minorities_discrimination"",""education""],""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"It sure pays to be a Liberal insider.","441354HAN354-12926788","2024-10-11","EN","parliament","{""themes"":null,""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"It’s drawing out, and it’s weird to say, the prehistoric roots of cooking over the fire.","www_thestar_com_news_gta_this-new-toronto-burger-restaurant-is-already-selling-out-its-no-surprise-given-whos-behind_article_3a18e558-4e9e-11ef-8151-dff2548ac28d_html_20240805_115355","2024-08-05","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"JD Vance, R-Ohio arrives to vote at the St.","www_theglobeandmail_com_world_us-politics_article-live-updates-polls-open-across-the-us-as-election-day-arrives__20241105_151331","2024-11-05","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"James—Assiniboia—Headingley has the floor.","441378HAN378-13027338","2024-11-28","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Je côtoie Louis‑Philippe depuis de longues années; il tiendra parole.","441338HAN338-12860539","2024-09-18","FR","parliament","{""themes"":""law_and_crime"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Je déclare la motion no 5 rejetée.","441298HAN298-12674176","2024-04-11","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Je pense qu'un tel débat serait plus productif, car, comme le député l'a lui-même précisé, ce débat a eu lieu il y a plus d'un an et demi.Il y a le rapport, et il y a de nombreux documents qui m'ont été fournis et que je n'ai pas pu consulter.","441351HAN351-12911858","2024-10-08","FR","parliament","{""themes"":""governments_governance"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Je suis très fier de nos investissements, qu’ils tirent leur origine de grands événements comme les Jeux panaméricains ou les Jeux olympiques de 2010, ou de l’initiative axée sur le sport communautaire dont je vais parler dans un instant.Nous avons également fait quelque chose que les athlètes réclament depuis 1999.","441358HAN358-12944051","2024-10-24","FR","parliament","{""themes"":""culture_and_nationalism"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Je tiens toutefois à préciser que la Loi sur les mesures d'urgence n'est pas le mécanisme à utiliser pour résoudre la crise des surdoses.","441320HAN320-12773702","2024-05-29","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"La capsule Starliner, de Boeing, amarrée à la Station spatiale internationale.","ici_radio-canada_ca_nouvelle_2099437_astronautes-boeing-reviendront-avec-spacex_20240824_185331","2024-08-24","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"La nouvelle taxe est dévastatrice pour tout le monde, de la ferme à la table.","441331HAN331-12824183","2024-06-13","FR","parliament","{""themes"":[""agriculture"",""macroeconomics""],""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"La politique sur les sports est échue depuis plus d'un an.","441358HAN358-12945372","2024-10-24","FR","parliament","{""themes"":""culture_and_nationalism"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Le CLSC est «la bonne porte d’entrée» Le Centre intégré universitaire de santé et de services sociaux (CIUSSS) de l’Est-de-l’Île-de-Montréal n’a pas voulu réagir devant la caméra, mais son responsable des communications a mentionné par courriel que certains détails ne concordaient pas avec leurs informations.","www_tvanouvelles_ca_2024_11_14_abandonnee-et-sans-aide-a-82-ans-une-ainee-qui-vit-dans-des-conditions-atroces-sur-le-point-de-se-faire-evincer_20241115_115324","2024-11-15","FR","headlines","{""themes"":[""governments_governance"",""education"",""health"",""social_welfare"",""technology""],""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Le dossier a été transféré à la Sûreté du Québec (SQ) qui doit faire la lumière sur les circonstances de cet événement.","www_journaldemontreal_com_2024_10_25_salaberry-valleyfield-un-incendie-dans-une-residence-envoie-deux-personnes-a-lhopital_20241025_140328","2024-10-25","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Le ministre de la Santé est-il en mesure de nous dire quelle incidence le projet de loi aura sur les 27 millions de Canadiens qui comptent sur un régime privé administré par leur employeur?","441309HAN309-12723415","2024-05-06","FR","parliament","{""themes"":[""governments_governance"",""health"",""labor""],""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Le peuple est pauvre, le gouvernement est riche.","441306HAN306-12709060","2024-05-01","FR","parliament","{""themes"":""governments_governance"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Le premier ministre de Terre-Neuve-et-Labrador, Andrew Furey, est aussi contre l'idée de Doug Ford.","ici_radio-canada_ca_nouvelle_2127021_conseil-federation-signe-donald-trump_20241215_190406","2024-12-15","FR","headlines","{""themes"":""governments_governance"",""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""negative""}"
"Le président français Emmanuel Macron a donné le coup d'envoi du rendez-vous olympique à 16 h 54 (HAE).","ici_radio-canada_ca_jeux-olympiques_nouvelle_2091763_ceremonie-ouverture-jeux-celine-dion_20240726_231352","2024-07-26","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Le secrétaire parlementaire du leader du gouvernement à la Chambre a la parole.","441285HAN285-12602471","2024-02-26","FR","parliament","{""themes"":[""governments_governance"",""law_and_crime""],""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Le voyage des deux VP de cinq jours, dont trois à la COP, a coûté 24 000$.","www_tvanouvelles_ca_2024_12_25_dautres-dirigeants-de-port-de-montreal-se-sont-gates-en-voyage-et-au-resto_20240806_103353","2024-08-06","FR","headlines","{""themes"":""transportation"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Les conservateurs pleins de bon sens continueront à se battre, jour après jour, pour garantir que les industries pétrolières et énergétiques canadiennes de classe mondiale reçoivent le soutien dont elles ont besoin pour que ces travailleurs puissent garder la lumière allumée lorsqu'il fait froid dehors.","441310HAN310-12724422","2024-05-07","FR","parliament","{""themes"":[""agriculture"",""energy"",""labor"",""macroeconomics""],""political_parties"":""cpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"Les conversations intéressantes et les conseils judicieux y étaient toujours à l'honneur.","441270HAN270-12531107","2024-01-29","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Les enfants orientés dans ces familles sont à haut risque d’abandon parental », selon la définition du CIUSSS.","www_lapresse_ca_actualites_2024-10-09_mauricie-et-centre-du-quebec_faussetes-et-omissions-a-la-dpj_php_20241009_123330","2024-10-09","FR","headlines","{""themes"":""health"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Les gens parviennent à peine à joindre les deux bouts.","441293HAN293-12642685","2024-03-21","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Les gérants d'épiceries mettent des puces sur les biftecks.","441308HAN308-12718384","2024-05-03","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Les investissements dans notre régime d'assurance-médicaments vont aider 1 Canadien sur 4 et 1 aîné sur cinq souffrant du diabète à surveiller, à tester et à traiter leur diabète sans avoir à se préoccuper des coûts.","441346HAN346-12893537","2024-10-01","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Locke said that beginning in September progress on the transition will be reported at each council meeting where councillors will have a chance to ask questions.","vancouversun_com_news_local-news_surrey-mayor-brenda-locke-fight-city-police-force-over_20240612_022403","2024-06-12","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"L’analyste politique à Radio-Canada est également vice-président sénior du Groupe Cavalia.","www_journaldemontreal_com_2024_12_31_equipements-et-dechets-qui-trainent-illumi-laval-occupe-illegalement-un-terrain-depuis-trois-mois_20241128_052327","2024-11-28","FR","headlines","{""themes"":""technology"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
