body,body_id_for_llm,deepseek,deepseek_inference_time
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": [""transportation""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",22.997539084011805
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC"", ""CPC""], ""specific_themes"": null}",26.171339958993485
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": ""null"", ""sentiment"": ""neutral"", ""political_parties"": ""LPC"", ""specific_themes"": ""null""}",22.75121545800357
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",38.074339083003
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": [""government_operations""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",23.823561165991123
It would be like a rose placed on each grave.”,23,"{""themes"": null, ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",35.29598520799482
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": [""environment"", ""public_lands""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": ""public_lands""}",27.374156999998377
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": [""culture""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",21.531707458008896
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": ""LPC"", ""specific_themes"": ""public_finance""}",24.344467458999134
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": [""environment"", ""social_welfare""], ""sentiment"": ""positive"", ""political_parties"": ""CPC"", ""specific_themes"": null}",17.74680912499025
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": [""health"", ""international_affairs"", ""defense""], ""sentiment"": ""negative"", ""political_parties"": ""Hezbollah"", ""specific_themes"": null}",35.870824083001935
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",26.346191374992486
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": [""international_affairs"", ""transportation""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",30.805361958002322
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": [""housing""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",18.926333458002773
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": [""null""], ""sentiment"": ""negative"", ""political_parties"": [""LPC""], ""specific_themes"": ""null""}",31.507299167002202
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": [""government_operations""], ""sentiment"": ""negative"", ""political_parties"": ""CPC"", ""specific_themes"": null}",24.713819249998778
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",33.98509900001227
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",33.6568964170001
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",28.169576458007214
"“All things aside, it’s a pretty serious conversation,” Caufield said about wearing No.",37,"{""themes"": [null], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",28.71492645800754
"There's a good chance she matches Lakatos right away, as Rivard has won the last two world titles in the 50m freestyle S10.",38,"{""themes"": null, ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",28.66441929200664
He was always thoughtful and generous with his advice to me.,39,"{""themes"": null, ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",24.3753871670051
"They are now 25 MLAs, down from the 28 elected in 2020 and only half of them have committed to running for re-election.",40,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",26.065668708994053
"Zelensky and said, “You’re a savior of the people.”",41,"{""themes"": [""international_affairs""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",29.783643000002485
That issue is at the heart of current tensions between Canada and India.,42,"{""themes"": [""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",26.213289125007577
London’s FTSE 100 and the STOXX 600 index of European equities were both up 1.1 per cent in early trading.,43,"{""themes"": [""macroeconomics""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",22.79013424999721
“It’s tough to play catchup off the back-to-backs.,44,"{""themes"": null, ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",31.033677416999126
"The third process, counting of absentee ballots, is scheduled to start Monday at 9 a.m.",45,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",20.748293249998824
Eric Reguly: Lebanon’s economy was in dire shape even before the Israel-Hezbollah war.,46,"{""themes"": [""macroeconomics""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",21.026643791992683
Bastyovanszky also alleged the mayor’s office falsely claimed to city councillors and school trustees that he was under investigation by the integrity commissioner and that Sim sought to dissolve the park board because he was “unable to control decisions” of commissioners.,47,"{""themes"": [""government_operations""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",23.398905333000585
"In late May, bullet holes were found in the door of a Jewish school and synagogue.",48,"{""themes"": [""civil_rights""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",31.628025832993444
"It added that firefighting had caused ""tremendous demand"" in the region — roughly quadruple the usual demand.",49,"{""themes"": [""environment"", ""public_lands""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",25.279203875004896
"Trudeau’s cabinet, acknowledged residents’ concerns about the drug-consumption site and its proximity to a school in a statement, but said Mr.",50,"{""themes"": [""health"", ""education""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",28.09006404200045
"In that case one of the victims is not talking to police and the other two are sedated, he said.",51,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",26.509916458002408
"Vice-President Kamala Harris says she'd find a place in her cabinet for a Republican if elected president, though she told CNN in a sit-down interview that she didn't have a specific individual in mind.",52,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",28.689695916997152
"“Whatever political or ideological differences exist between us,” Carr wrote, “we have a larger collective responsibility to maintain a climate of respect  —  one free from hate and intimidation  —  on our campuses.”  jfeith@postmedia.com",53,"{""themes"": [""civil_rights""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",28.404685874993447
• Expand services for students with dyslexia and other learning challenges.,54,"{""themes"": [""education""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",29.010625042006723
Biden's motivation for running was deeply intertwined with Trump.,55,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",37.134889875000226
"It also was the first power-play goal this season by a Montreal rearguard, and the first since Jan. 20, 2024, also scored by Matheson, during a 9-4 drubbing at Boston.",56,"{""themes"": null, ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",27.849875291998615
"Either result would have major implications for Canada, particularly on the economy and immigration but also on foreign policy.",57,"{""themes"": [""macroeconomics"", ""immigration"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",33.38022208400071
Just under half of respondents supported teenagers receiving gender-affirming care such as counselling and hormone replacement treatment with parental consent.,58,"{""themes"": [""health""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",116.17710158400587
“That ultimately you need shared values.,59,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",34.71269395799027
Angela Johnston has more on how it could play out.,60,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",20.42635112500284
"It has featured anti-Israel protests since the October 7 massacre, including last December, when two men were later arrested and charged (although charges against one of the men were later dropped).",61,"{""themes"": [""international_affairs"", ""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",24.521494708998944
The crowds downtown will be thinning out if the TTC goes on strike.,62,"{""themes"": [""transportation"", ""labor""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",34.80928345800203
This newsletter is your weekly guide to what we’re doing about it.,63,"{""themes"": [null], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",24.75977720899391
"Trump was injured after a shooting unfolded during a rally in Butler, Pa., on Saturday that left two people dead, including the shooter.",64,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",27.31036762498843
"Thursday’s byelection came with Ford’s PCs riding high in the Star’s August Abacus public opinion poll, with 42 per cent support despite challenges including an RCMP investigation into his government’s $8.28 billion Greenbelt land swap scandal.",65,"{""themes"": [""public_lands"", ""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""PCQ"", ""specific_themes"": null}",31.03079441700538
“Users must be addressed in French.,66,"{""themes"": null, ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",20.131545500000357
TRCA advises people to avoid all recreational activities in or around water as conditions can change rapidly.,67,"{""themes"": [""environment""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",24.86935670800449
"She’s now looking at other options, even if they’re pricier.",68,"{""themes"": [null], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",32.21148162501049
"But according to the law society's decision to provisionally suspend him, Cartel ""appears to have misled"" another lawyer who was trying to track down money on behalf of a client, did not take reasonable steps to investigate when faced with evidence his firm's finances were awry, and failed to deliver bank account statements demanded by a law society auditor.",69,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",28.36464529199293
"He was inducted into the Canadian Business Hall of Fame in 1996 and into the U.S.-based Automotive Hall of Fame in 2018, and was made a member of the Order of Canada in 1999.",70,"{""themes"": null, ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",27.248985624988563
A turn back toward the Harper years?,71,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""CPC"", ""specific_themes"": null}",30.428568625007756
The bank also projects that Ottawa’s deficit for this year will be bigger than initial projections.,72,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": [""public_finance""]}",31.830325667004217
"""Where is she locating herself relative to other Canadian efforts?""",73,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",44.066971084001125
Community Facebook groups have been inundated with posts about smashed vehicle windows across the city recently.,74,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",16.31738820800092
"The Canadian government said Kovrig and Spavor were political pawns, arbitrarily detained in response to the arrest of Chinese tech executive Meng Wanzhou in Vancouver at the request of the United States.",75,"{""themes"": [""international_affairs""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",38.49808254100208
"Although Harris’ ascendency boosted Democrats’ enthusiasm and put Trump on the defensive in a race he had been expected to win easily against Biden, the vice-president was scrutinized over her plans for the country and whether she would truly represent a change from the unpopular Biden administration she served in.",76,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""Democratic"", ""Republican""], ""specific_themes"": null}",26.416025333994185
"A government spokesperson speaking on background said that the new measures apply to some firearms that were included in those initial amendments, while others were left out.",77,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",26.248810584002058
A view of a stretch of the I-75 where northbound traffic is slowed due to residents trying to evacuate flood zones.,78,"{""themes"": [""transportation"", ""environment""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",18.747288541999296
Fifty-seven specialists did the same thing.,79,"{""themes"": null, ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",23.957674083998427
"One of those other cars, a Chevrolet Tahoe, had been spotted the previous day by officers in the driveway of Abdelgadir’s home during an unrelated investigation, and was followed to a nearby mall.",80,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",22.159006542002317
"“We can confirm that the fire has reached the Fairmont Jasper Park Lodge grounds, however, we are unclear on the extent of damage.”",81,"{""themes"": [""environment""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",31.175178750010673
"India also retaliated and announced it is expelling six Canadian diplomats, including acting High Commissioner Stewart Wheeler.",82,"{""themes"": [""international_affairs""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",28.624620541988406
“We assume with 100-per-cent reliability that we will turn on the tap and water will come out.,83,"{""themes"": [""public_lands""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",27.76355770799273
"Psychological harassment is “any vexatious behaviour in the form of repeated and hostile or unwanted conduct, verbal comments, actions or gestures, that affects an employee’s dignity or psychological or physical integrity and that results in a harmful work environment for the employee.”",84,"{""themes"": [""labor""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",21.564191459008725
"Harris, in a statement said she was “glad” Trump was safe, adding “violence has no place in America.”",85,"{""themes"": [""law_and_crime""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",28.091321500003687
"""He wanted to catch Arctic grayling,"" she said in the interview, saying he reassured her that there were lots of hunters and hikers in the area should he run into trouble.",86,"{""themes"": [""environment"", ""public_lands""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",30.893485584005248
The Liberals inherited what was arguably the world’s best immigration system and devalued it by allowing many more lower skilled and temporary workers into the country.,87,"{""themes"": [""immigration"", ""labor""], ""sentiment"": ""negative"", ""political_parties"": ""LPC"", ""specific_themes"": null}",23.66329087500344
"“In regard to the mortgage reforms announced this morning, CMHC looks forward to implementing the changes when they come into effect,” a spokesperson said, with additional requests for comment directed to the Department of Finance.",88,"{""themes"": [""housing"", ""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": [""public_finance""]}",20.47237929099356
“The terrorist groups use illegal smuggling as part of their financing operations for doing bad things.,89,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",37.17252158300835
"Only two candidates so far have thrown their hats into the ring to succeed Trudeau — Liberal backbencher Chandra Arya from Ontario, and businessman Frank Baylis, a former Québec MP.",90,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC"", ""PLQ""], ""specific_themes"": null}",39.07415437499003
"With the TTC upgrading the Spadina streetcar right-of-way from now until December, the transit agency is resorting to the next best thing to keep people moving along the route.",91,"{""themes"": [""transportation""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",20.57225191600446
"Conservatives have their work cut out for themselves as Canadians would like to see a quick economic turnaround, like that of their southern neighbours.",92,"{""themes"": [""macroeconomics""], ""sentiment"": ""negative"", ""political_parties"": ""CPC"", ""specific_themes"": ""public_finance""}",27.507978832989465
"So like, how many investigations are currently ongoing involving government corruption?”",93,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",19.56288083299296
"Blocking the box might be downtown Toronto’s most ubiquitous traffic offence, as drivers force their way into busy intersections knowing they’ll still be blocking traffic when the light turns red, resulting in paralyzing gridlock.",94,"{""themes"": [""transportation""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",23.76126270800887
"She said in April: “Most legal scholars probably track most Americans, who didn’t want to overturn Roe.",95,"{""themes"": [""civil_rights""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",29.333552291995147
Conservatives have complained that it is not sufficiently independent from government.,96,"{""themes"": [""government_operations""], ""sentiment"": ""negative"", ""political_parties"": ""CPC"", ""specific_themes"": null}",20.927480917001958
An economist on Ottawa’s GST holiday.,97,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",32.57043537500431
"The bombing follows attacks last week when pagers and walkie talkies exploded across Lebanon, killing scores of people and wounding thousands including Hezbollah members.",98,"{""themes"": [""law_and_crime"", ""international_affairs""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",26.75444062499446
"Four years ago, he tried to overturn his election defeat by Mr.",99,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",22.471779582992895
It’s not so much the caucus really that matters.,100,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",18.124683542002458
Nor is the Pickering facility an outlier.,101,"{""themes"": null, ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",36.08048183299252
The next issue of Westcoast Homes will soon be in your inbox.,102,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",24.76137245800055
"""Donald Trump, when he makes statements like that, he plans on carrying them out.",103,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",24.94599312498758
"The major battle in Baku is over how much rich nations will pay for developing countries to decarbonize their energy systems, cope with future harms of climate change and pay for damage from extreme weather.",104,"{""themes"": [""environment"", ""energy"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": ""public_finance""}",28.307281332992716
"A Mennonite father who killed his one-year-old son with an axe may be allowed to travel to parts of southern Ontario in the coming months, but a long-term plan for reintegration into his tight-knit community remains unclear.",105,"{""themes"": [""law_and_crime"", ""social_welfare""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": ""welfare_state""}",32.78376562500489
"The report released Wednesday by the Institut du Québec, a non-profit think tank, found that Quebec is not reducing its carbon emissions fast enough to meet the government’s goal of becoming carbon neutral by 2050 and that efforts to grow the economy will likely lead to an increase in greenhouse gas emissions.",106,"{""themes"": [""environment"", ""energy"", ""macroeconomics""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": [""public_finance"", ""welfare_state""]}",34.08355116599705
I was extremely relieved to learn that he was not seriously harmed.”,107,"{""themes"": [""health""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",17.06540808400314
"""That's your assessment,"" she said.",108,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",28.221612374996766
“The fight for our freedom will take hard work.,109,"{""themes"": [""civil_rights""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",25.12866012500308
"The total allowable catch for that fishery in 2023 was 12,999 tonnes.",110,"{""themes"": [""agriculture""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",28.459097416998702
"The central bank kicked off its interest rate easing cycle with back-to-back quarter-point rate cuts in June and July, bringing the policy rate down to 4.5 per cent after the most rapid tightening cycle in its history.",111,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": [""public_finance""]}",25.887606915988727
Brownstein drew a distinction in how Longueuil police and the Sûreté du Québec have responded to violence at protests compared with the SPVM in Montreal.,112,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",28.285407000003033
The Beer Store as well as local craft brewery bottle shops and wineries will remain open even if the LCBO strike goes ahead.,113,"{""themes"": [""labor"", ""domestic_commerce""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",27.780952542001614
"Officers notified Cheam First Nation, which determined the land had been leased by the owner to a waste management company that has run afoul of provincial environment laws in the past.",114,"{""themes"": [""environment"", ""public_lands""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",29.741644083012943
"For American citizens, Jan. 20th, 2025 is Liberation Day.",115,"{""themes"": [""government_operations""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",32.88249420799548
"Labour Minister Steve MacKinnon met with the airline and union yesterday, Trudeau added, without offering further details.",116,"{""themes"": [""labor""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",35.540687166998396
He said jail officials had submitted affidavits suggesting what happened was “to protect order in the institution.”,117,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",22.273538166002254
Missaghi … threatening you explicitly or implicitly with violence or in the best case scenarios with a sort of Jihad in the court system.”,118,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",30.98413445800543
“I have good memories of this place.,119,"{""themes"": [""null""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",19.18325316600385
"“Without that knowledge, we struggle to hold our local governments and our provincial and federal counterparts accountable,” he said.",120,"{""themes"": [""government_operations""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",34.95351649999793
"“So much that you’ve worked towards and … you’ve built your life there … the kids, for example, that’s their home, right?",121,"{""themes"": [""social_welfare""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",27.018413708006847
"Once she submits an application, the department will let her know if more information is required.",122,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",22.361323540986632
And while the New York Times opined in a headline the “Opening Ceremony Misses the Boat” — alluding to the fact it was held on the Seine — everyone was in agreement Dion was simply dazzling.,123,"{""themes"": [""culture""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",35.40956283301057
Lawyers for the affected inmates are now making court applications to have charges stayed or sentences shortened in response to what they argue are blatant violations of their clients’ Charter rights.,124,"{""themes"": [""civil_rights"", ""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",21.81753420800669
"The Israeli military official said the area was not a tent complex, but an operational compound run by Hamas and that several more militants were there, guarding Deif.",125,"{""themes"": [""defense""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",26.235944208994624
"Richardson complained to the CPSO about Cho and a SickKids dermatologist, whose allegedly flawed opinion Cho had relied on.",126,"{""themes"": [""health""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",28.17482091599959
