body,body_id_for_llm,nemotron,nemotron_inference_time
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": [""null""]}",1.639142542029731
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": [""law_and_crime""]}",1.901432333048433
"Gage, a lawyer with the group, said, “2021 was a wake-up call in B.C., where we had the heat dome in which more than 600 people died.",17,"{""themes"": [""environment_and_energy"", ""health_and_social_services""]}",2.3467212500981987
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": [""environment_and_energy"", ""technology"", ""economy_and_labour""]}",2.970196499954909
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": [""governments_and_governance"", ""technology""]}",2.435200040927157
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": [""governments_and_governance""]}",1.887365333037451
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": [""law_and_crime"", ""economy_and_labour""]}",2.5382516670506448
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": [""governments_and_governance""]}",1.8980559579795226
It would be like a rose placed on each grave.”,23,"{""themes"": [""culture_and_nationalism""]}",17.823472375050187
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": [""governments_and_governance"", ""public_lands_and_agriculture""]}",2.9874299590010196
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": [""culture_and_nationalism""]}",1.9833780829794705
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",3.0619050409877673
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": [""governments_and_governance"", ""public_lands_and_agriculture""]}",3.5578273750143126
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": [""international_affairs_and_defense"", ""health_and_social_services""]}",2.8889502909732983
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": [""law_and_crime""]}",1.63183874997776
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",2.8863034999230877
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": [""public_lands_and_agriculture"", ""economy_and_labour""]}",2.5225924169644713
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": [""governments_and_governance""]}",1.8898834579158574
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": [""governments_and_governance""]}",2.173904792056419
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": [""law_and_crime"", ""economy_and_labour""]}",2.2543522499036044
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": [""null""]}",1.3500978340161964
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": [""governments_and_governance""]}",1.9025265839882195
"“All things aside, it’s a pretty serious conversation,” Caufield said about wearing No.",37,"{""themes"": [""null""]}",1.3567800829187036
"There's a good chance she matches Lakatos right away, as Rivard has won the last two world titles in the 50m freestyle S10.",38,"{""themes"": [""culture_and_nationalism""]}",1.9946550829336047
He was always thoughtful and generous with his advice to me.,39,"{""themes"": [""null""]}",1.6168262079590932
"They are now 25 MLAs, down from the 28 elected in 2020 and only half of them have committed to running for re-election.",40,"{""themes"": [""governments_and_governance""]}",2.1702400830108672
"Zelensky and said, “You’re a savior of the people.”",41,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",2.6034921249374747
That issue is at the heart of current tensions between Canada and India.,42,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",2.8645144579932094
London’s FTSE 100 and the STOXX 600 index of European equities were both up 1.1 per cent in early trading.,43,"{""themes"": [""economy_and_labour""]}",1.9937822909560055
“It’s tough to play catchup off the back-to-backs.,44,"{""themes"": [""null""]}",1.3544935840182006
"The third process, counting of absentee ballots, is scheduled to start Monday at 9 a.m.",45,"{""themes"": [""governments_and_governance""]}",1.8945396670605987
Eric Reguly: Lebanon’s economy was in dire shape even before the Israel-Hezbollah war.,46,"{""themes"": [""economy_and_labour"", ""international_affairs_and_defense""]}",2.69649445801042
Bastyovanszky also alleged the mayor’s office falsely claimed to city councillors and school trustees that he was under investigation by the integrity commissioner and that Sim sought to dissolve the park board because he was “unable to control decisions” of commissioners.,47,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.7224580420879647
"In late May, bullet holes were found in the door of a Jewish school and synagogue.",48,"{""themes"": [""rights_liberties_minorities_discrimination"", ""law_and_crime""]}",2.51528849999886
"It added that firefighting had caused ""tremendous demand"" in the region — roughly quadruple the usual demand.",49,"{""themes"": [""environment_and_energy""]}",1.543751540943049
"Trudeau’s cabinet, acknowledged residents’ concerns about the drug-consumption site and its proximity to a school in a statement, but said Mr.",50,"{""themes"": [""health_and_social_services"", ""governments_and_governance""]}",2.7151297500822693
"In that case one of the victims is not talking to police and the other two are sedated, he said.",51,"{""themes"": [""law_and_crime""]}",1.6276833339361474
"Vice-President Kamala Harris says she'd find a place in her cabinet for a Republican if elected president, though she told CNN in a sit-down interview that she didn't have a specific individual in mind.",52,"{""themes"": [""governments_and_governance"", ""international_affairs_and_defense""]}",2.896398707991466
"“Whatever political or ideological differences exist between us,” Carr wrote, “we have a larger collective responsibility to maintain a climate of respect  —  one free from hate and intimidation  —  on our campuses.”  jfeith@postmedia.com",53,"{""themes"": [""education"", ""rights_liberties_minorities_discrimination""]}",2.540015749982558
• Expand services for students with dyslexia and other learning challenges.,54,"{""themes"": [""education""]}",1.353974665980786
Biden's motivation for running was deeply intertwined with Trump.,55,"{""themes"": [""governments_and_governance"", ""international_affairs_and_defense""]}",2.8679395409999415
"It also was the first power-play goal this season by a Montreal rearguard, and the first since Jan. 20, 2024, also scored by Matheson, during a 9-4 drubbing at Boston.",56,"{""themes"": [""null""]}",1.9104210420046002
"Either result would have major implications for Canada, particularly on the economy and immigration but also on foreign policy.",57,"{""themes"": [""economy_and_labour"", ""immigration"", ""international_affairs_and_defense""]}",3.053689792053774
Just under half of respondents supported teenagers receiving gender-affirming care such as counselling and hormone replacement treatment with parental consent.,58,"{""themes"": [""rights_liberties_minorities_discrimination"", ""health_and_social_services""]}",2.522986541967839
“That ultimately you need shared values.,59,"{""themes"": [""culture_and_nationalism"", ""rights_liberties_minorities_discrimination""]}",2.860815207939595
Angela Johnston has more on how it could play out.,60,"{""themes"": [""null""]}",1.6203788330312818
"It has featured anti-Israel protests since the October 7 massacre, including last December, when two men were later arrested and charged (although charges against one of the men were later dropped).",61,"{""themes"": [""international_affairs_and_defense"", ""law_and_crime""]}",2.8893316249595955
The crowds downtown will be thinning out if the TTC goes on strike.,62,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.515129000064917
This newsletter is your weekly guide to what we’re doing about it.,63,"{""themes"": [""null""]}",1.3519127080217004
"Trump was injured after a shooting unfolded during a rally in Butler, Pa., on Saturday that left two people dead, including the shooter.",64,"{""themes"": [""law_and_crime""]}",1.6336935830768198
"Thursday’s byelection came with Ford’s PCs riding high in the Star’s August Abacus public opinion poll, with 42 per cent support despite challenges including an RCMP investigation into his government’s $8.28 billion Greenbelt land swap scandal.",65,"{""themes"": [""governments_and_governance"", ""public_lands_and_agriculture""]}",2.986825624946505
“Users must be addressed in French.,66,"{""themes"": [""culture_and_nationalism""]}",1.706593833048828
TRCA advises people to avoid all recreational activities in or around water as conditions can change rapidly.,67,"{""themes"": [""environment_and_energy"", ""public_lands_and_agriculture""]}",2.340114666032605
"She’s now looking at other options, even if they’re pricier.",68,"{""themes"": [""null""]}",1.6217897089663893
"But according to the law society's decision to provisionally suspend him, Cartel ""appears to have misled"" another lawyer who was trying to track down money on behalf of a client, did not take reasonable steps to investigate when faced with evidence his firm's finances were awry, and failed to deliver bank account statements demanded by a law society auditor.",69,"{""themes"": [""law_and_crime""]}",2.4822091669775546
"He was inducted into the Canadian Business Hall of Fame in 1996 and into the U.S.-based Automotive Hall of Fame in 2018, and was made a member of the Order of Canada in 1999.",70,"{""themes"": [""culture_and_nationalism""]}",2.002017750055529
A turn back toward the Harper years?,71,"{""themes"": [""governments_and_governance""]}",2.150084000080824
The bank also projects that Ottawa’s deficit for this year will be bigger than initial projections.,72,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.516663833986968
"""Where is she locating herself relative to other Canadian efforts?""",73,"{""themes"": [""null""]}",1.3499493750277907
Community Facebook groups have been inundated with posts about smashed vehicle windows across the city recently.,74,"{""themes"": [""law_and_crime""]}",1.6223037919262424
"The Canadian government said Kovrig and Spavor were political pawns, arbitrarily detained in response to the arrest of Chinese tech executive Meng Wanzhou in Vancouver at the request of the United States.",75,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance"", ""law_and_crime""]}",3.422609083005227
"Although Harris’ ascendency boosted Democrats’ enthusiasm and put Trump on the defensive in a race he had been expected to win easily against Biden, the vice-president was scrutinized over her plans for the country and whether she would truly represent a change from the unpopular Biden administration she served in.",76,"{""themes"": [""governments_and_governance""]}",2.187884291051887
"A government spokesperson speaking on background said that the new measures apply to some firearms that were included in those initial amendments, while others were left out.",77,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.7085954579524696
A view of a stretch of the I-75 where northbound traffic is slowed due to residents trying to evacuate flood zones.,78,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",2.7014905830146745
Fifty-seven specialists did the same thing.,79,"{""themes"": [""null""]}",1.6146717080846429
"One of those other cars, a Chevrolet Tahoe, had been spotted the previous day by officers in the driveway of Abdelgadir’s home during an unrelated investigation, and was followed to a nearby mall.",80,"{""themes"": [""law_and_crime""]}",1.907087874948047
"“We can confirm that the fire has reached the Fairmont Jasper Park Lodge grounds, however, we are unclear on the extent of damage.”",81,"{""themes"": [""environment_and_energy""]}",1.5429946250515059
"India also retaliated and announced it is expelling six Canadian diplomats, including acting High Commissioner Stewart Wheeler.",82,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",2.6121678330237046
“We assume with 100-per-cent reliability that we will turn on the tap and water will come out.,83,"{""themes"": [""public_lands_and_agriculture"", ""environment_and_energy""]}",2.6049575420329347
"Psychological harassment is “any vexatious behaviour in the form of repeated and hostile or unwanted conduct, verbal comments, actions or gestures, that affects an employee’s dignity or psychological or physical integrity and that results in a harmful work environment for the employee.”",84,"{""themes"": [""rights_liberties_minorities_discrimination"", ""economy_and_labour""]}",2.895406125113368
"Harris, in a statement said she was “glad” Trump was safe, adding “violence has no place in America.”",85,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.4323159579653293
"""He wanted to catch Arctic grayling,"" she said in the interview, saying he reassured her that there were lots of hunters and hikers in the area should he run into trouble.",86,"{""themes"": [""public_lands_and_agriculture""]}",2.171583708957769
The Liberals inherited what was arguably the world’s best immigration system and devalued it by allowing many more lower skilled and temporary workers into the country.,87,"{""themes"": [""immigration"", ""governments_and_governance""]}",2.5285737499361858
"“In regard to the mortgage reforms announced this morning, CMHC looks forward to implementing the changes when they come into effect,” a spokesperson said, with additional requests for comment directed to the Department of Finance.",88,"{""themes"": [""economy_and_labour""]}",1.9946434159064665
“The terrorist groups use illegal smuggling as part of their financing operations for doing bad things.,89,"{""themes"": [""law_and_crime"", ""international_affairs_and_defense""]}",2.605633542058058
"Only two candidates so far have thrown their hats into the ring to succeed Trudeau — Liberal backbencher Chandra Arya from Ontario, and businessman Frank Baylis, a former Québec MP.",90,"{""themes"": [""governments_and_governance""]}",2.173811750020832
"With the TTC upgrading the Spadina streetcar right-of-way from now until December, the transit agency is resorting to the next best thing to keep people moving along the route.",91,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.799556375015527
"Conservatives have their work cut out for themselves as Canadians would like to see a quick economic turnaround, like that of their southern neighbours.",92,"{""themes"": [""economy_and_labour"", ""international_affairs_and_defense""]}",2.4343770829727873
"So like, how many investigations are currently ongoing involving government corruption?”",93,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.691438875044696
"Blocking the box might be downtown Toronto’s most ubiquitous traffic offence, as drivers force their way into busy intersections knowing they’ll still be blocking traffic when the light turns red, resulting in paralyzing gridlock.",94,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",20.383603791939095
"She said in April: “Most legal scholars probably track most Americans, who didn’t want to overturn Roe.",95,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.5197918330086395
Conservatives have complained that it is not sufficiently independent from government.,96,"{""themes"": [""governments_and_governance""]}",1.8861340410076082
An economist on Ottawa’s GST holiday.,97,"{""themes"": [""economy_and_labour""]}",1.9695692920358852
"The bombing follows attacks last week when pagers and walkie talkies exploded across Lebanon, killing scores of people and wounding thousands including Hezbollah members.",98,"{""themes"": [""international_affairs_and_defense"", ""law_and_crime""]}",2.621458209003322
"Four years ago, he tried to overturn his election defeat by Mr.",99,"{""themes"": [""governments_and_governance""]}",2.1562730830628425
It’s not so much the caucus really that matters.,100,"{""themes"": [""governments_and_governance""]}",2.1489603329682723
Nor is the Pickering facility an outlier.,101,"{""themes"": [""null""]}",1.6167870840290561
The next issue of Westcoast Homes will soon be in your inbox.,102,"{""themes"": [""null""]}",1.3557990419212729
"""Donald Trump, when he makes statements like that, he plans on carrying them out.",103,"{""themes"": [""governments_and_governance"", ""international_affairs_and_defense""]}",2.869958166964352
"The major battle in Baku is over how much rich nations will pay for developing countries to decarbonize their energy systems, cope with future harms of climate change and pay for damage from extreme weather.",104,"{""themes"": [""environment_and_energy"", ""international_affairs_and_defense""]}",2.8002566669601947
"A Mennonite father who killed his one-year-old son with an axe may be allowed to travel to parts of southern Ontario in the coming months, but a long-term plan for reintegration into his tight-knit community remains unclear.",105,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.80873349995818
"The report released Wednesday by the Institut du Québec, a non-profit think tank, found that Quebec is not reducing its carbon emissions fast enough to meet the government’s goal of becoming carbon neutral by 2050 and that efforts to grow the economy will likely lead to an increase in greenhouse gas emissions.",106,"{""themes"": [""environment_and_energy"", ""economy_and_labour"", ""governments_and_governance""]}",3.534808958065696
I was extremely relieved to learn that he was not seriously harmed.”,107,"{""themes"": [""null""]}",1.3508283330593258
"""That's your assessment,"" she said.",108,"{""themes"": [""null""]}",1.6146962080383673
“The fight for our freedom will take hard work.,109,"{""themes"": [""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",2.770451500080526
"The total allowable catch for that fishery in 2023 was 12,999 tonnes.",110,"{""themes"": [""public_lands_and_agriculture""]}",1.8920464999973774
"The central bank kicked off its interest rate easing cycle with back-to-back quarter-point rate cuts in June and July, bringing the policy rate down to 4.5 per cent after the most rapid tightening cycle in its history.",111,"{""themes"": [""economy_and_labour""]}",2.2672366249607876
Brownstein drew a distinction in how Longueuil police and the Sûreté du Québec have responded to violence at protests compared with the SPVM in Montreal.,112,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.71561625006143
The Beer Store as well as local craft brewery bottle shops and wineries will remain open even if the LCBO strike goes ahead.,113,"{""themes"": [""economy_and_labour""]}",1.72441824991256
"Officers notified Cheam First Nation, which determined the land had been leased by the owner to a waste management company that has run afoul of provincial environment laws in the past.",114,"{""themes"": [""public_lands_and_agriculture"", ""environment_and_energy"", ""law_and_crime""]}",3.1587264999980107
"For American citizens, Jan. 20th, 2025 is Liberation Day.",115,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",2.8739700840087608
"Labour Minister Steve MacKinnon met with the airline and union yesterday, Trudeau added, without offering further details.",116,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",2.5187312910566106
He said jail officials had submitted affidavits suggesting what happened was “to protect order in the institution.”,117,"{""themes"": [""law_and_crime""]}",1.6308961659669876
Missaghi … threatening you explicitly or implicitly with violence or in the best case scenarios with a sort of Jihad in the court system.”,118,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.5311260420130566
“I have good memories of this place.,119,"{""themes"": [""null""]}",1.350321791949682
"“Without that knowledge, we struggle to hold our local governments and our provincial and federal counterparts accountable,” he said.",120,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",3.0543711660429835
"“So much that you’ve worked towards and … you’ve built your life there … the kids, for example, that’s their home, right?",121,"{""themes"": [""null""]}",18.90453375002835
"Once she submits an application, the department will let her know if more information is required.",122,"{""themes"": [""null""]}",1.358357125078328
And while the New York Times opined in a headline the “Opening Ceremony Misses the Boat” — alluding to the fact it was held on the Seine — everyone was in agreement Dion was simply dazzling.,123,"{""themes"": [""culture_and_nationalism""]}",2.000157625065185
Lawyers for the affected inmates are now making court applications to have charges stayed or sentences shortened in response to what they argue are blatant violations of their clients’ Charter rights.,124,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.7987620000494644
"The Israeli military official said the area was not a tent complex, but an operational compound run by Hamas and that several more militants were there, guarding Deif.",125,"{""themes"": [""international_affairs_and_defense""]}",2.083580208942294
"Richardson complained to the CPSO about Cho and a SickKids dermatologist, whose allegedly flawed opinion Cho had relied on.",126,"{""themes"": [""health_and_social_services"", ""law_and_crime""]}",2.440463166916743
"In his own book last year, Mr.",127,"{""themes"": [""null""]}",1.348522541928105
"After the Soviets invaded Afghanistan in December 1979, Carter decided to boycott the Summer Olympics in Moscow and asked the Senate to delay ratification of SALT II.",128,"{""themes"": [""international_affairs_and_defense""]}",2.0839766249991953
"He was not surprised by the ultimate decision of the body that grants these increasingly important documents:  “Since you are no longer of school age for the purposes of the application of Division I of Chapter VIII of the Charter of the French Language, no positive decision can be rendered with regard to any request you make at this time concerning your eligibility for instruction in English.”",129,"{""themes"": [""education"", ""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",3.9170124999945983
Mendes says the Sahm Rule also tells us where the unemployment rate is headed.,130,"{""themes"": [""economy_and_labour""]}",1.980097624938935
"Senators made it clear they thought the policy was ill-conceived, and at least one poll found Canadians weren’t rewarding the Liberals with more support because of it.",131,"{""themes"": [""governments_and_governance""]}",2.1769178750691935
"He also announced the Working Canadians Rebate — a plan to send $250 cheques this spring to every individual who worked in 2023 and made up to $150,000.",132,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",3.064151749946177
"Dean Crawford, a lawyer for Ms.",133,"{""themes"": [""law_and_crime""]}",1.8811972090043128
"“If John Rustad doesn’t act, he is once again confirming that there is no consequence in his party for spreading hate.”",134,"{""themes"": [""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",2.791259958059527
But it’s certainly a lot friendlier for buyers than it has been.”,135,"{""themes"": [""economy_and_labour""]}",1.7106045419350266
"A woman holds her smartphone near an illuminated decoration on New Year's Eve in Seoul, South Korea, Tuesday, Dec.",136,"{""themes"": [""culture_and_nationalism""]}",1.7214632499963045
“We need to protect our volunteers.”,137,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.6852942500263453
"Elections Nova Scotia said the polling station didn’t open at 8 a.m., so it stayed open until 9 p.m.",138,"{""themes"": [""governments_and_governance""]}",1.9005078340414912
"It’s more serious, and I think that the people participating understand that ‘sacrifices’ have been made to ensure the ability to vote on this issue,” Waters said in an interview.",139,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",3.067858124966733
"We areworking closely with authorities and the implicated ranch to determine the possible cause,” saidCraig Slate, SunFed president, in the news release.",140,"{""themes"": [""null""]}",17.44930574996397
It was previously held by former Trudeau cabinet minister David Lametti.,141,"{""themes"": [""governments_and_governance""]}",2.1566687499871477
"Canada’s deadliest listeria outbreak, at Maple Leaf Foods in Toronto, killed 24 people in 2008.",142,"{""themes"": [""health_and_social_services""]}",1.6292896668892354
“It appears the Canada Industrial Relations Board (CIRB) will have 72 hours to do its work before issuing a back to work order on Monday.,143,"{""themes"": [""law_and_crime"", ""economy_and_labour""]}",12.305660958983935
An eighth system has been funded and ordered and is expected to be in the field some time next year.,144,"{""themes"": [""international_affairs_and_defense""]}",1.8067825420293957
"Reached by phone Wednesday, an NDP spokesperson said Ashton was in Quebec City ""to discuss language priorities"" because she's the party's critic for official languages and needed to ""find out things she needs to prioritize.""",145,"{""themes"": [""culture_and_nationalism"", ""governments_and_governance""]}",3.072882334003225
CTV News has learned Kaur’s brother and father are now in the province.,146,"{""themes"": [""immigration""]}",1.4475691670086235
"Meanwhile, rumours are swirling of impending budget cuts at hospitals.",147,"{""themes"": [""health_and_social_services"", ""economy_and_labour""]}",2.2423047500196844
"Economic struggles, a mass importation of apples and last year’s woes has farmers feeling discouraged, the Ontario Apple Growers association says.",148,"{""themes"": [""economy_and_labour"", ""public_lands_and_agriculture""]}",2.7950480000581592
"Some detransitioners are suing their doctors, alleging their desire for extreme interventions was never challenged and alternative options never offered.",149,"{""themes"": [""health_and_social_services"", ""rights_liberties_minorities_discrimination""]}",2.5238143750466406
"Ian Tostenson, president of the B.C.",150,"{""themes"": [""immigration"", ""economy_and_labour""]}",18.063808791921474
"Liberal MP Anita Vandenbeld said during the committee that she and all committee members care about the issue of gender-based violence, then called for a debate on a motion related to abortion rights, which the Liberals say would be at risk under a Conservative government.",151,"{""themes"": [""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",3.0860226660734043
He had to be ferried from Scarborough to a specialist at Toronto Western Hospital to be put in a coma.,152,"{""themes"": [""health_and_social_services""]}",1.6329017089447007
"Kelly Gordon of Romer’s Burger Bar says his restaurants’ patios have sat more empty than usual this month, due to untimely bouts of rainy and cold weather.",153,"{""themes"": [""economy_and_labour""]}",1.999704375048168
"“We just wanted it more,” Jecho said.",154,"{""themes"": [""null""]}",1.3544952080119401
The officer was looking for the suspicious person when another officer hoisted him up so he could grab the edge of the roof.,155,"{""themes"": [""law_and_crime""]}",1.9029655000194907
"“The technology has improved so much, so it’s easier to do (stadiums).",156,"{""themes"": [""technology""]}",1.358515416039154
"“No changes to the characterization of residual effects are anticipated as a result of the proposed changes,” said the partners in their route change filings to the B.C.",157,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",3.2445942079648376
Conservative Leader John Rustad is pleased to have taken a party that barely existed 18 months ago to one that came within a couple seats of forming government.,158,"{""themes"": [""governments_and_governance""]}",2.1762230419553816
Whoever wins the Liberal leadership race on March 9 will have just a couple of weeks to introduce themselves to Canadians as their new prime minister and turn the Liberals’ fortunes around before Parliament is set to return on March 24.,159,"{""themes"": [""governments_and_governance""]}",2.4456415420863777
Your weekly guide to what you need to know about federal politics and the minority Liberal government.,160,"{""themes"": [""governments_and_governance""]}",2.1600384999765083
Toronto MP Nathaniel Erskine-Smith said Wednesday’s caucus discussions centred on the next steps the party needs to take to be election-ready and that the party’s leadership was not a focus of the talks.,161,"{""themes"": [""governments_and_governance""]}",2.1765393749810755
"The U.S. president has framed the surcharges as a way to force a crackdown against people illegally crossing its borders, as well as to force stronger action to prevent the potent drug fentanyl from being smuggled between North American countries.",162,"{""themes"": [""law_and_crime"", ""immigration"", ""international_affairs_and_defense""]}",3.2593881249194965
"Eby acknowledged the tipping point for his decision was a fatal attack by a mentally ill man in Vancouver’s Downtown Eastside earlier this month, and the death of a 13-year-old girl from an overdose after her family were unable to get her into care when she refused.",163,"{""themes"": [""law_and_crime"", ""health_and_social_services""]}",2.4558028749888763
They have identified at least 272 people who purchased them over a two-year period.,164,"{""themes"": [""law_and_crime""]}",1.8896561249857768
Certain oysters have been recalled in three Canadian provinces following a suspected outbreak of norovirus in British Columbia that left dozens of people sick.,165,"{""themes"": [""health_and_social_services"", ""public_lands_and_agriculture""]}",2.708066208055243
"The health, safety, rights and dignity of women are facing new threats.",166,"{""themes"": [""health_and_social_services"", ""rights_liberties_minorities_discrimination""]}",2.5138330420013517
The NDP currently leads in Surrey-Guildford by 27 votes while the Conservatives are ahead in Kelowna Centre by 38 votes.,167,"{""themes"": [""governments_and_governance""]}",1.8977664168924093
"Thompson, 50, had been in the city from Minnesota since Monday.",168,"{""themes"": [""null""]}",1.628094375017099
CBSA adds that a prescription from a doctor does not count as authorization from Health Canada.,169,"{""themes"": [""health_and_social_services"", ""law_and_crime""]}",2.160220416961238
"""Even some folks who have soft support for Kamala Harris and Tim Walz may find themselves saying to themselves, 'Hey, look, I don't necessarily want to support Donald Trump, but the economy's not great right now and it was better when he was president.'""",170,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",2.8128793339710683
