body,body_id_for_llm,public_lands_and_agriculture,public_lands_and_agriculture_inference_time,culture_and_nationalism,culture_and_nationalism_inference_time,law_and_crime,law_and_crime_inference_time,immigration,immigration_inference_time,governments_and_governance,governments_and_governance_inference_time,rights_liberties_minorities_discrimination,rights_liberties_minorities_discrimination_inference_time,health_and_social_services,health_and_social_services_inference_time,education,education_inference_time,economy_and_labour,economy_and_labour_inference_time,technology,technology_inference_time,international_affairs_and_defense,international_affairs_and_defense_inference_time,environment_and_energy,environment_and_energy_inference_time
"Gage, a lawyer with the group, said, “2021 was a wake-up call in B.C., where we had the heat dome in which more than 600 people died.",17,"{""themes"": null}",1.515256643295288,"{""themes"": null}",1.5163679122924805,"{""themes"": ""law_and_crime""}",1.858854055404663,"{""themes"": null}",1.5141668319702148,"{""themes"": null}",1.5176880359649658,"{""themes"": null}",1.516974687576294,"{""themes"": ""health_and_social_services""}",1.8581798076629639,"{""themes"": null}",1.512115240097046,"{""themes"": null}",1.5135390758514404,"{""themes"": null}",1.5109097957611084,"{""themes"": null}",1.5119872093200684,"{""themes"": ""environment_and_energy""}",1.7711272239685059
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": null}",1.5162508487701416,"{""themes"": null}",1.5144057273864746,"{""themes"": null}",1.514024019241333,"{""themes"": null}",1.513023853302002,"{""themes"": null}",1.5197577476501465,"{""themes"": null}",1.5152602195739746,"{""themes"": null}",1.51466965675354,"{""themes"": null}",1.513028860092163,"{""themes"": [""economy_and_labour""]}",1.944166898727417,"{""themes"": ""technology""}",1.59513521194458,"{""themes"": null}",1.5115678310394287,"{""themes"": ""environment_and_energy""}",1.7699761390686035
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": null}",1.5172698497772217,"{""themes"": null}",1.513934850692749,"{""themes"": null}",1.5112977027893066,"{""themes"": null}",1.514742136001587,"{""themes"": [""governments_and_governance""]}",2.1186392307281494,"{""themes"": null}",1.5157928466796875,"{""themes"": null}",1.5142111778259277,"{""themes"": null}",1.511775016784668,"{""themes"": null}",1.5131230354309082,"{""themes"": ""technology""}",1.596351146697998,"{""themes"": null}",1.5112502574920654,"{""themes"": null}",1.510521650314331
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": null}",1.237394094467163,"{""themes"": null}",1.2342948913574219,"{""themes"": null}",1.2359869480133057,"{""themes"": null}",1.2348737716674805,"{""themes"": [""governments_and_governance""]}",1.839932918548584,"{""themes"": null}",1.236975908279419,"{""themes"": null}",1.2344160079956055,"{""themes"": null}",1.2320091724395752,"{""themes"": null}",1.2347772121429443,"{""themes"": null}",1.23142409324646,"{""themes"": null}",1.235827922821045,"{""themes"": null}",1.230154037475586
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": null}",1.5237858295440674,"{""themes"": null}",1.5210940837860107,"{""themes"": ""law_and_crime""}",1.8635246753692627,"{""themes"": null}",1.5205070972442627,"{""themes"": null}",1.525113821029663,"{""themes"": null}",1.524242877960205,"{""themes"": null}",1.5197720527648926,"{""themes"": null}",1.520085096359253,"{""themes"": ""economy_and_labour""}",1.9511051177978516,"{""themes"": null}",1.517784833908081,"{""themes"": null}",1.5182039737701416,"{""themes"": null}",1.5206561088562012
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": null}",1.2419989109039307,"{""themes"": null}",1.2358372211456299,"{""themes"": null}",1.23488187789917,"{""themes"": null}",1.2372541427612305,"{""themes"": [""governments_and_governance""]}",1.8398792743682861,"{""themes"": null}",1.2384917736053467,"{""themes"": [""health_and_social_services""]}",1.5785179138183594,"{""themes"": null}",1.2350311279296875,"{""themes"": null}",1.238886833190918,"{""themes"": null}",1.2337279319763184,"{""themes"": null}",1.2359778881072998,"{""themes"": null}",1.2347509860992432
It would be like a rose placed on each grave.”,23,"{""themes"": null}",1.2325892448425293,"{""themes"": ""culture_and_nationalism""}",1.6580479145050049,"{""themes"": null}",1.2291619777679443,"{""themes"": null}",1.229027271270752,"{""themes"": null}",1.2323040962219238,"{""themes"": null}",1.231132984161377,"{""themes"": null}",1.2304818630218506,"{""themes"": null}",1.2338449954986572,"{""themes"": null}",1.2294700145721436,"{""themes"": null}",1.2251288890838623,"{""themes"": null}",1.2301621437072754,"{""themes"": null}",1.2275352478027344
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": ""public_lands_and_agriculture""}",2.124933958053589,"{""themes"": null}",1.5233099460601807,"{""themes"": null}",1.5243630409240723,"{""themes"": null}",1.525529146194458,"{""themes"": ""governments_and_governance""}",2.1344099044799805,"{""themes"": null}",1.5285999774932861,"{""themes"": null}",1.523664951324463,"{""themes"": null}",1.5226612091064453,"{""themes"": [""economy_and_labour""]}",1.9545197486877441,"{""themes"": null}",1.5237009525299072,"{""themes"": null}",1.5238761901855469,"{""themes"": [""environment_and_energy""]}",1.782571792602539
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": null}",1.2407162189483643,"{""themes"": ""culture_and_nationalism""}",1.668154001235962,"{""themes"": null}",1.2382020950317383,"{""themes"": null}",1.236999273300171,"{""themes"": null}",1.241811990737915,"{""themes"": null}",1.24214506149292,"{""themes"": null}",1.2399649620056152,"{""themes"": null}",1.238779067993164,"{""themes"": null}",1.2388899326324463,"{""themes"": null}",1.2371339797973633,"{""themes"": null}",1.2385542392730713,"{""themes"": null}",1.2381417751312256
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": null}",1.5151958465576172,"{""themes"": null}",1.5136871337890625,"{""themes"": null}",1.5125188827514648,"{""themes"": null}",1.5145180225372314,"{""themes"": [""governments_and_governance""]}",2.118649959564209,"{""themes"": null}",1.5155608654022217,"{""themes"": null}",1.516948938369751,"{""themes"": null}",1.5154199600219727,"{""themes"": ""economy_and_labour""}",1.941594123840332,"{""themes"": null}",1.5118095874786377,"{""themes"": null}",1.5129573345184326,"{""themes"": null}",1.5138952732086182
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": ""null""}",1.8975889682769775,"{""themes"": null}",1.8110687732696533,"{""themes"": null}",1.8103678226470947,"{""themes"": null}",1.8104121685028076,"{""themes"": [""governments_and_governance""]}",2.417206048965454,"{""themes"": null}",1.810943841934204,"{""themes"": null}",1.8120901584625244,"{""themes"": null}",1.8069119453430176,"{""themes"": null}",1.8099780082702637,"{""themes"": null}",1.8052778244018555,"{""themes"": null}",1.8067588806152344,"{""themes"": ""null""}",1.8937599658966064
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": null}",1.5157299041748047,"{""themes"": null}",1.5146832466125488,"{""themes"": ""law_and_crime""}",1.8549060821533203,"{""themes"": null}",1.5142920017242432,"{""themes"": ""null""}",1.6059436798095703,"{""themes"": null}",1.5147731304168701,"{""themes"": ""health_and_social_services""}",1.8584620952606201,"{""themes"": null}",1.512211799621582,"{""themes"": null}",1.5155258178710938,"{""themes"": null}",1.511335849761963,"{""themes"": ""international_affairs_and_defense""}",2.028149127960205,"{""themes"": null}",1.5146839618682861
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": null}",1.242609977722168,"{""themes"": null}",1.241684913635254,"{""themes"": ""law_and_crime""}",1.5834970474243164,"{""themes"": null}",1.241657018661499,"{""themes"": null}",1.2439930438995361,"{""themes"": null}",1.24336576461792,"{""themes"": null}",1.2421948909759521,"{""themes"": null}",1.239919900894165,"{""themes"": null}",1.2402679920196533,"{""themes"": null}",1.2400438785552979,"{""themes"": null}",1.2392950057983398,"{""themes"": null}",1.2400150299072266
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": null}",1.5185410976409912,"{""themes"": null}",1.5157790184020996,"{""themes"": ""law_and_crime""}",1.8566505908966064,"{""themes"": null}",1.5170609951019287,"{""themes"": [""governments_and_governance""]}",2.123988151550293,"{""themes"": null}",1.516509771347046,"{""themes"": null}",1.5162808895111084,"{""themes"": null}",1.4588379859924316,"{""themes"": [""economy_and_labour""]}",1.9439499378204346,"{""themes"": null}",1.5140249729156494,"{""themes"": ""international_affairs_and_defense""}",2.0254180431365967,"{""themes"": null}",1.5158228874206543
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": null}",1.2408618927001953,"{""themes"": null}",1.2389049530029297,"{""themes"": null}",1.237008810043335,"{""themes"": null}",1.2383971214294434,"{""themes"": null}",1.2408030033111572,"{""themes"": null}",1.2413060665130615,"{""themes"": null}",1.2395830154418945,"{""themes"": null}",1.2373058795928955,"{""themes"": [""economy_and_labour""]}",1.6656341552734375,"{""themes"": null}",1.236504077911377,"{""themes"": null}",1.2422850131988525,"{""themes"": null}",1.2388570308685303
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": null}",1.2331829071044922,"{""themes"": null}",1.233731985092163,"{""themes"": null}",1.2326011657714844,"{""themes"": null}",1.2310383319854736,"{""themes"": [""governments_and_governance""]}",1.8349759578704834,"{""themes"": null}",1.2329638004302979,"{""themes"": null}",1.2320220470428467,"{""themes"": null}",1.2288281917572021,"{""themes"": null}",1.231431007385254,"{""themes"": null}",1.2288880348205566,"{""themes"": null}",1.233712911605835,"{""themes"": null}",1.2319729328155518
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": null}",1.516667127609253,"{""themes"": null}",1.514915943145752,"{""themes"": null}",1.5128960609436035,"{""themes"": null}",1.5123510360717773,"{""themes"": ""governments_and_governance""}",2.1205999851226807,"{""themes"": null}",1.5163459777832031,"{""themes"": null}",1.5159027576446533,"{""themes"": null}",1.5104708671569824,"{""themes"": null}",1.5139901638031006,"{""themes"": null}",1.5099430084228516,"{""themes"": null}",1.5132930278778076,"{""themes"": null}",1.5139331817626953
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": null}",1.2433311939239502,"{""themes"": null}",1.2404670715332031,"{""themes"": ""law_and_crime""}",1.5852677822113037,"{""themes"": null}",1.2420570850372314,"{""themes"": null}",1.2450370788574219,"{""themes"": null}",1.2427210807800293,"{""themes"": null}",1.2413499355316162,"{""themes"": null}",1.2371351718902588,"{""themes"": ""economy_and_labour""}",1.6704459190368652,"{""themes"": null}",1.2406229972839355,"{""themes"": null}",1.2375609874725342,"{""themes"": null}",1.241828203201294
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": null}",1.2329521179199219,"{""themes"": null}",1.2316510677337646,"{""themes"": null}",1.2295398712158203,"{""themes"": null}",1.2311999797821045,"{""themes"": ""null""}",1.320145845413208,"{""themes"": null}",1.2315890789031982,"{""themes"": null}",1.2326710224151611,"{""themes"": null}",1.2308828830718994,"{""themes"": null}",1.231226921081543,"{""themes"": null}",1.2276849746704102,"{""themes"": null}",1.2325880527496338,"{""themes"": null}",1.2312629222869873
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": null}",1.2449941635131836,"{""themes"": ""null""}",1.3295650482177734,"{""themes"": null}",1.2423148155212402,"{""themes"": null}",1.2481226921081543,"{""themes"": [""governments_and_governance""]}",1.848092794418335,"{""themes"": null}",1.2465119361877441,"{""themes"": null}",1.2464568614959717,"{""themes"": null}",1.2433900833129883,"{""themes"": null}",1.2424681186676025,"{""themes"": null}",1.2429068088531494,"{""themes"": ""international_affairs_and_defense""}",1.7558457851409912,"{""themes"": null}",1.2442307472229004
"“All things aside, it’s a pretty serious conversation,” Caufield said about wearing No.",37,"{""themes"": null}",1.2395341396331787,"{""themes"": null}",1.2369322776794434,"{""themes"": null}",1.236290693283081,"{""themes"": null}",1.2364778518676758,"{""themes"": null}",1.2379651069641113,"{""themes"": null}",1.237523078918457,"{""themes"": null}",1.2354280948638916,"{""themes"": null}",1.2324438095092773,"{""themes"": null}",1.2394537925720215,"{""themes"": null}",1.234980821609497,"{""themes"": null}",1.234980821609497,"{""themes"": null}",1.2367019653320312
"There's a good chance she matches Lakatos right away, as Rivard has won the last two world titles in the 50m freestyle S10.",38,"{""themes"": null}",1.5169050693511963,"{""themes"": null}",1.515716791152954,"{""themes"": null}",1.514171838760376,"{""themes"": null}",1.5134799480438232,"{""themes"": null}",1.5170459747314453,"{""themes"": null}",1.5179829597473145,"{""themes"": null}",1.5189390182495117,"{""themes"": null}",1.5117120742797852,"{""themes"": null}",1.5157701969146729,"{""themes"": null}",1.5119051933288574,"{""themes"": null}",1.5125670433044434,"{""themes"": null}",1.514801025390625
He was always thoughtful and generous with his advice to me.,39,"{""themes"": null}",1.234327793121338,"{""themes"": null}",1.2311909198760986,"{""themes"": null}",1.229017972946167,"{""themes"": null}",1.2286489009857178,"{""themes"": null}",1.2347760200500488,"{""themes"": null}",1.23301100730896,"{""themes"": null}",1.2318611145019531,"{""themes"": null}",1.2288119792938232,"{""themes"": null}",1.2315950393676758,"{""themes"": null}",1.2282841205596924,"{""themes"": null}",1.228652000427246,"{""themes"": null}",1.227592945098877
"They are now 25 MLAs, down from the 28 elected in 2020 and only half of them have committed to running for re-election.",40,"{""themes"": null}",1.5155470371246338,"{""themes"": null}",1.5166301727294922,"{""themes"": null}",1.5139520168304443,"{""themes"": null}",1.512773036956787,"{""themes"": ""governments_and_governance""}",2.1198999881744385,"{""themes"": null}",1.5159549713134766,"{""themes"": null}",1.513085126876831,"{""themes"": null}",1.5110118389129639,"{""themes"": null}",1.515235185623169,"{""themes"": null}",1.5111150741577148,"{""themes"": null}",1.5143449306488037,"{""themes"": null}",1.513390064239502
"Zelensky and said, “You’re a savior of the people.”",41,"{""themes"": null}",1.2353830337524414,"{""themes"": [""culture_and_nationalism""]}",1.6652190685272217,"{""themes"": null}",1.2359158992767334,"{""themes"": null}",1.2363200187683105,"{""themes"": [""governments_and_governance""]}",1.840580940246582,"{""themes"": null}",1.2370519638061523,"{""themes"": null}",1.2370221614837646,"{""themes"": null}",1.2320821285247803,"{""themes"": null}",1.235023021697998,"{""themes"": null}",1.2297661304473877,"{""themes"": ""international_affairs_and_defense""}",1.747683048248291,"{""themes"": null}",1.2325639724731445
That issue is at the heart of current tensions between Canada and India.,42,"{""themes"": null}",1.2330000400543213,"{""themes"": null}",1.2322518825531006,"{""themes"": null}",1.231323003768921,"{""themes"": null}",1.2314600944519043,"{""themes"": [""governments_and_governance""]}",1.8356947898864746,"{""themes"": null}",1.2344350814819336,"{""themes"": null}",1.2320709228515625,"{""themes"": null}",1.2306900024414062,"{""themes"": null}",1.2320661544799805,"{""themes"": null}",1.2277591228485107,"{""themes"": ""international_affairs_and_defense""}",1.744354009628296,"{""themes"": null}",1.2293550968170166
London’s FTSE 100 and the STOXX 600 index of European equities were both up 1.1 per cent in early trading.,43,"{""themes"": null}",1.5138020515441895,"{""themes"": null}",1.5172648429870605,"{""themes"": null}",1.5137112140655518,"{""themes"": null}",1.5135879516601562,"{""themes"": null}",1.517829179763794,"{""themes"": null}",1.514760971069336,"{""themes"": null}",1.5171351432800293,"{""themes"": null}",1.5114800930023193,"{""themes"": ""economy_and_labour""}",1.9418268203735352,"{""themes"": null}",1.5115339756011963,"{""themes"": null}",1.5135529041290283,"{""themes"": null}",1.5116889476776123
“It’s tough to play catchup off the back-to-backs.,44,"{""themes"": null}",1.233720064163208,"{""themes"": null}",1.244460105895996,"{""themes"": null}",1.2320668697357178,"{""themes"": null}",1.2324621677398682,"{""themes"": null}",1.2347440719604492,"{""themes"": null}",1.234882116317749,"{""themes"": null}",1.2319490909576416,"{""themes"": null}",1.230085849761963,"{""themes"": null}",1.2318992614746094,"{""themes"": null}",1.2275331020355225,"{""themes"": null}",1.2319250106811523,"{""themes"": null}",1.2296428680419922
"The third process, counting of absentee ballots, is scheduled to start Monday at 9 a.m.",45,"{""themes"": null}",1.2366609573364258,"{""themes"": null}",1.2358052730560303,"{""themes"": null}",1.236130952835083,"{""themes"": null}",1.2389037609100342,"{""themes"": [""governments_and_governance""]}",1.8443398475646973,"{""themes"": null}",1.239858865737915,"{""themes"": null}",1.2379930019378662,"{""themes"": null}",1.2339839935302734,"{""themes"": null}",1.2376930713653564,"{""themes"": null}",1.2336418628692627,"{""themes"": null}",1.2367949485778809,"{""themes"": null}",1.2348759174346924
Eric Reguly: Lebanon’s economy was in dire shape even before the Israel-Hezbollah war.,46,"{""themes"": null}",1.2401888370513916,"{""themes"": null}",1.2388768196105957,"{""themes"": null}",1.2369799613952637,"{""themes"": null}",1.2387652397155762,"{""themes"": null}",1.2406799793243408,"{""themes"": null}",1.2384676933288574,"{""themes"": null}",1.2372400760650635,"{""themes"": null}",1.2349188327789307,"{""themes"": ""economy_and_labour""}",1.6650900840759277,"{""themes"": null}",1.2348873615264893,"{""themes"": ""international_affairs_and_defense""}",1.7462778091430664,"{""themes"": null}",1.2389519214630127
