body,body_id_for_llm,public_lands_and_agriculture,public_lands_and_agriculture_inference_time,culture_and_nationalism,culture_and_nationalism_inference_time,law_and_crime,law_and_crime_inference_time,immigration,immigration_inference_time,governments_and_governance,governments_and_governance_inference_time,rights_liberties_minorities_discrimination,rights_liberties_minorities_discrimination_inference_time,health_and_social_services,health_and_social_services_inference_time,education,education_inference_time,economy_and_labour,economy_and_labour_inference_time,technology,technology_inference_time,international_affairs_and_defense,international_affairs_and_defense_inference_time,environment_and_energy,environment_and_energy_inference_time
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": null}",1.5176081657409668,"{""themes"": null}",1.511842966079712,"{""themes"": null}",1.5170440673828125,"{""themes"": null}",1.5098333358764648,"{""themes"": ""governments_and_governance""}",2.118926763534546,"{""themes"": null}",1.5168402194976807,"{""themes"": null}",1.515516996383667,"{""themes"": null}",1.5100538730621338,"{""themes"": null}",1.5154390335083008,"{""themes"": null}",1.511174201965332,"{""themes"": null}",1.5154659748077393,"{""themes"": null}",1.513157844543457
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": null}",1.2346217632293701,"{""themes"": null}",1.2341113090515137,"{""themes"": null}",1.2347331047058105,"{""themes"": null}",1.2298519611358643,"{""themes"": null}",1.2331569194793701,"{""themes"": null}",1.2356441020965576,"{""themes"": null}",1.2333340644836426,"{""themes"": null}",1.2323100566864014,"{""themes"": null}",1.2358698844909668,"{""themes"": null}",1.2319419384002686,"{""themes"": null}",1.2349188327789307,"{""themes"": null}",1.234666109085083
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": null}",1.516984224319458,"{""themes"": null}",1.5170140266418457,"{""themes"": ""law_and_crime""}",1.8671472072601318,"{""themes"": null}",1.512782096862793,"{""themes"": ""governments_and_governance""}",2.1187870502471924,"{""themes"": ""null""}",1.605510950088501,"{""themes"": null}",1.5201117992401123,"{""themes"": null}",1.5147790908813477,"{""themes"": null}",1.5184812545776367,"{""themes"": null}",1.5176661014556885,"{""themes"": null}",1.5193860530853271,"{""themes"": null}",1.518474817276001
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": null}",1.2419719696044922,"{""themes"": null}",1.2424688339233398,"{""themes"": null}",1.243124008178711,"{""themes"": null}",1.2416551113128662,"{""themes"": ""governments_and_governance""}",1.8460948467254639,"{""themes"": null}",1.246419906616211,"{""themes"": null}",1.2435901165008545,"{""themes"": null}",1.2423059940338135,"{""themes"": null}",1.2438232898712158,"{""themes"": null}",1.2461597919464111,"{""themes"": null}",1.2437331676483154,"{""themes"": null}",1.2450790405273438
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": null}",1.5155770778656006,"{""themes"": null}",1.51763916015625,"{""themes"": null}",1.5215098857879639,"{""themes"": null}",1.5129599571228027,"{""themes"": null}",1.5205152034759521,"{""themes"": null}",1.5184168815612793,"{""themes"": null}",1.517629861831665,"{""themes"": null}",1.5172338485717773,"{""themes"": null}",1.5173938274383545,"{""themes"": null}",1.5166380405426025,"{""themes"": null}",1.514660120010376,"{""themes"": null}",1.5173799991607666
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": null}",1.5140552520751953,"{""themes"": null}",1.5109450817108154,"{""themes"": ""law_and_crime""}",1.8600172996520996,"{""themes"": null}",1.5105020999908447,"{""themes"": null}",1.5152769088745117,"{""themes"": null}",1.5142107009887695,"{""themes"": null}",1.5147950649261475,"{""themes"": null}",1.5107011795043945,"{""themes"": null}",1.5151691436767578,"{""themes"": null}",1.5154542922973633,"{""themes"": null}",1.5139272212982178,"{""themes"": null}",1.5159218311309814
"Gage, a lawyer with the group, said, “2021 was a wake-up call in B.C., where we had the heat dome in which more than 600 people died.",17,"{""themes"": null}",1.5157101154327393,"{""themes"": null}",1.51316499710083,"{""themes"": null}",1.5183780193328857,"{""themes"": null}",1.5120482444763184,"{""themes"": ""null""}",1.6032772064208984,"{""themes"": null}",1.5168421268463135,"{""themes"": ""health_and_social_services""}",1.859637975692749,"{""themes"": null}",1.5110361576080322,"{""themes"": null}",1.515854835510254,"{""themes"": null}",1.5164411067962646,"{""themes"": null}",1.5159878730773926,"{""themes"": [""environment_and_energy""]}",1.7719478607177734
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": null}",1.5149459838867188,"{""themes"": null}",1.5128750801086426,"{""themes"": null}",1.5199460983276367,"{""themes"": null}",1.5099601745605469,"{""themes"": null}",1.517251968383789,"{""themes"": null}",1.5180881023406982,"{""themes"": null}",1.5142090320587158,"{""themes"": null}",1.512500286102295,"{""themes"": ""economy_and_labour""}",1.9472336769104004,"{""themes"": [""technology""]}",1.5994009971618652,"{""themes"": null}",1.5136609077453613,"{""themes"": ""environment_and_energy""}",1.7713768482208252
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": null}",1.5129899978637695,"{""themes"": null}",1.5119380950927734,"{""themes"": null}",1.5159578323364258,"{""themes"": null}",1.5109922885894775,"{""themes"": ""null""}",1.6017930507659912,"{""themes"": null}",1.5168497562408447,"{""themes"": null}",1.5188589096069336,"{""themes"": null}",1.5099802017211914,"{""themes"": null}",1.5164940357208252,"{""themes"": [""technology""]}",1.595242977142334,"{""themes"": null}",1.5143392086029053,"{""themes"": null}",1.5150158405303955
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": null}",1.2369818687438965,"{""themes"": null}",1.2323238849639893,"{""themes"": null}",1.2382841110229492,"{""themes"": null}",1.2349450588226318,"{""themes"": ""governments_and_governance""}",1.83760404586792,"{""themes"": null}",1.2381658554077148,"{""themes"": null}",1.2358651161193848,"{""themes"": null}",1.2350289821624756,"{""themes"": null}",1.237541913986206,"{""themes"": null}",1.2337417602539062,"{""themes"": null}",1.235184907913208,"{""themes"": null}",1.2353861331939697
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": null}",1.5268981456756592,"{""themes"": null}",1.5193698406219482,"{""themes"": ""law_and_crime""}",1.869957685470581,"{""themes"": null}",1.5203328132629395,"{""themes"": ""null""}",1.6094088554382324,"{""themes"": null}",1.5253019332885742,"{""themes"": null}",1.5232861042022705,"{""themes"": null}",1.5205810070037842,"{""themes"": ""economy_and_labour""}",1.9524099826812744,"{""themes"": null}",1.5198850631713867,"{""themes"": null}",1.5227110385894775,"{""themes"": null}",1.5208771228790283
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": null}",1.2382609844207764,"{""themes"": null}",1.2364940643310547,"{""themes"": null}",1.2400131225585938,"{""themes"": null}",1.236994981765747,"{""themes"": ""governments_and_governance""}",1.839250087738037,"{""themes"": null}",1.2404181957244873,"{""themes"": [""health_and_social_services""]}",1.578995943069458,"{""themes"": null}",1.2370479106903076,"{""themes"": null}",1.238832950592041,"{""themes"": null}",1.2368760108947754,"{""themes"": null}",1.2356891632080078,"{""themes"": null}",1.2364048957824707
It would be like a rose placed on each grave.”,23,"{""themes"": null}",1.230339765548706,"{""themes"": ""culture_and_nationalism""}",1.65535306930542,"{""themes"": null}",1.2337489128112793,"{""themes"": null}",1.2272660732269287,"{""themes"": null}",1.2312750816345215,"{""themes"": null}",1.2305469512939453,"{""themes"": null}",1.227308750152588,"{""themes"": null}",1.2316827774047852,"{""themes"": null}",1.231523036956787,"{""themes"": null}",1.227673053741455,"{""themes"": null}",1.2309050559997559,"{""themes"": null}",1.229870080947876
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": ""public_lands_and_agriculture""}",2.1238369941711426,"{""themes"": null}",1.5224418640136719,"{""themes"": null}",1.5300228595733643,"{""themes"": null}",1.5217831134796143,"{""themes"": ""governments_and_governance""}",2.137407064437866,"{""themes"": null}",1.5278229713439941,"{""themes"": null}",1.5251479148864746,"{""themes"": null}",1.5230021476745605,"{""themes"": ""null""}",1.6121752262115479,"{""themes"": null}",1.5263550281524658,"{""themes"": null}",1.5259671211242676,"{""themes"": [""environment_and_energy""]}",1.7829821109771729
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": null}",1.238351821899414,"{""themes"": [""culture_and_nationalism""]}",1.6656291484832764,"{""themes"": null}",1.243363857269287,"{""themes"": null}",1.236969232559204,"{""themes"": null}",1.2422897815704346,"{""themes"": null}",1.2421150207519531,"{""themes"": null}",1.2383227348327637,"{""themes"": null}",1.2376680374145508,"{""themes"": null}",1.2398900985717773,"{""themes"": null}",1.2463040351867676,"{""themes"": null}",1.239070177078247,"{""themes"": null}",1.2407381534576416
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": null}",1.5126850605010986,"{""themes"": null}",1.5118043422698975,"{""themes"": null}",1.5125501155853271,"{""themes"": null}",1.5099608898162842,"{""themes"": ""governments_and_governance""}",2.1206912994384766,"{""themes"": null}",1.5150940418243408,"{""themes"": null}",1.5164389610290527,"{""themes"": null}",1.5127718448638916,"{""themes"": ""economy_and_labour""}",2.203145980834961,"{""themes"": null}",1.5146589279174805,"{""themes"": null}",1.5137619972229004,"{""themes"": null}",1.5166189670562744
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": null}",1.8095331192016602,"{""themes"": null}",1.8068079948425293,"{""themes"": null}",1.8123729228973389,"{""themes"": null}",1.8057200908660889,"{""themes"": ""governments_and_governance""}",2.4172770977020264,"{""themes"": null}",1.8129780292510986,"{""themes"": null}",1.8153960704803467,"{""themes"": null}",1.805746078491211,"{""themes"": ""null""}",1.8941843509674072,"{""themes"": ""null""}",1.8977227210998535,"{""themes"": null}",1.808927059173584,"{""themes"": null}",1.8097138404846191
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": null}",1.5192739963531494,"{""themes"": null}",1.5149612426757812,"{""themes"": ""law_and_crime""}",1.8650212287902832,"{""themes"": null}",1.5124049186706543,"{""themes"": ""null""}",1.6025850772857666,"{""themes"": ""null""}",1.6040048599243164,"{""themes"": ""health_and_social_services""}",1.8574960231781006,"{""themes"": null}",1.5126819610595703,"{""themes"": null}",1.5177288055419922,"{""themes"": null}",1.514664888381958,"{""themes"": ""international_affairs_and_defense""}",2.2876501083374023,"{""themes"": null}",1.5160610675811768
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": null}",1.243067979812622,"{""themes"": null}",1.240027904510498,"{""themes"": [""law_and_crime""]}",1.5962870121002197,"{""themes"": null}",1.2391610145568848,"{""themes"": null}",1.241896152496338,"{""themes"": null}",1.243044137954712,"{""themes"": null}",1.242351770401001,"{""themes"": null}",1.241736888885498,"{""themes"": null}",1.2434439659118652,"{""themes"": null}",1.2420470714569092,"{""themes"": null}",1.239380121231079,"{""themes"": null}",1.242314338684082
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": null}",1.516489028930664,"{""themes"": null}",1.5130558013916016,"{""themes"": null}",1.517261028289795,"{""themes"": null}",1.5115089416503906,"{""themes"": ""null""}",1.6049752235412598,"{""themes"": null}",1.5197479724884033,"{""themes"": null}",1.5165698528289795,"{""themes"": null}",1.5157709121704102,"{""themes"": ""economy_and_labour""}",1.9476127624511719,"{""themes"": null}",1.5148401260375977,"{""themes"": ""international_affairs_and_defense""}",2.0296778678894043,"{""themes"": null}",1.5152790546417236
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": null}",1.2384450435638428,"{""themes"": null}",1.2387847900390625,"{""themes"": null}",1.2451717853546143,"{""themes"": null}",1.237072229385376,"{""themes"": ""null""}",1.3287200927734375,"{""themes"": null}",1.242178201675415,"{""themes"": null}",1.239799976348877,"{""themes"": null}",1.2401371002197266,"{""themes"": ""economy_and_labour""}",1.6707470417022705,"{""themes"": null}",1.23856782913208,"{""themes"": null}",1.2378933429718018,"{""themes"": null}",1.239725112915039
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": null}",1.2334949970245361,"{""themes"": null}",1.2315640449523926,"{""themes"": null}",1.237870216369629,"{""themes"": null}",1.2297677993774414,"{""themes"": ""governments_and_governance""}",1.8341381549835205,"{""themes"": null}",1.2322418689727783,"{""themes"": null}",1.2326598167419434,"{""themes"": null}",1.2334189414978027,"{""themes"": null}",1.2358531951904297,"{""themes"": null}",1.23130202293396,"{""themes"": null}",1.2306721210479736,"{""themes"": null}",1.2308437824249268
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": null}",1.5167889595031738,"{""themes"": null}",1.5133280754089355,"{""themes"": null}",1.5199358463287354,"{""themes"": null}",1.510073184967041,"{""themes"": ""governments_and_governance""}",2.1203291416168213,"{""themes"": null}",1.5217528343200684,"{""themes"": null}",1.5134499073028564,"{""themes"": null}",1.5116772651672363,"{""themes"": null}",1.5184838771820068,"{""themes"": null}",1.5145461559295654,"{""themes"": null}",1.518038034439087,"{""themes"": null}",1.5134007930755615
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": null}",1.2416770458221436,"{""themes"": null}",1.2418620586395264,"{""themes"": ""law_and_crime""}",1.5835769176483154,"{""themes"": null}",1.241595983505249,"{""themes"": null}",1.2429959774017334,"{""themes"": null}",1.2429680824279785,"{""themes"": null}",1.2413060665130615,"{""themes"": null}",1.2391037940979004,"{""themes"": ""null""}",1.3275339603424072,"{""themes"": null}",1.2434101104736328,"{""themes"": null}",1.2409789562225342,"{""themes"": null}",1.2433009147644043
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": null}",1.232118844985962,"{""themes"": null}",1.2317631244659424,"{""themes"": null}",1.2323720455169678,"{""themes"": null}",1.2335238456726074,"{""themes"": ""null""}",1.3175110816955566,"{""themes"": null}",1.2340378761291504,"{""themes"": null}",1.229792833328247,"{""themes"": null}",1.2303318977355957,"{""themes"": null}",1.2352280616760254,"{""themes"": null}",1.2303879261016846,"{""themes"": null}",1.2326149940490723,"{""themes"": null}",1.2313671112060547
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": null}",1.2434279918670654,"{""themes"": null}",1.2433967590332031,"{""themes"": null}",1.2464241981506348,"{""themes"": null}",1.2412443161010742,"{""themes"": ""governments_and_governance""}",1.8526508808135986,"{""themes"": null}",1.247370958328247,"{""themes"": null}",1.243823766708374,"{""themes"": null}",1.245210886001587,"{""themes"": null}",1.2458560466766357,"{""themes"": null}",1.2445838451385498,"{""themes"": null}",1.246155023574829,"{""themes"": null}",1.2458841800689697
"“All things aside, it’s a pretty serious conversation,” Caufield said about wearing No.",37,"{""themes"": null}",1.2373709678649902,"{""themes"": null}",1.2328770160675049,"{""themes"": null}",1.239243984222412,"{""themes"": null}",1.2364649772644043,"{""themes"": null}",1.2392277717590332,"{""themes"": null}",1.2400703430175781,"{""themes"": null}",1.235464334487915,"{""themes"": null}",1.2372832298278809,"{""themes"": null}",1.237950325012207,"{""themes"": null}",1.2357351779937744,"{""themes"": null}",1.2379119396209717,"{""themes"": null}",1.235360860824585
"There's a good chance she matches Lakatos right away, as Rivard has won the last two world titles in the 50m freestyle S10.",38,"{""themes"": null}",1.5179650783538818,"{""themes"": null}",1.5147600173950195,"{""themes"": null}",1.5148909091949463,"{""themes"": null}",1.5165109634399414,"{""themes"": null}",1.516171932220459,"{""themes"": null}",1.5191409587860107,"{""themes"": null}",1.5163321495056152,"{""themes"": null}",1.515207052230835,"{""themes"": null}",1.5168461799621582,"{""themes"": null}",1.5154931545257568,"{""themes"": null}",1.5168960094451904,"{""themes"": null}",1.5170292854309082
He was always thoughtful and generous with his advice to me.,39,"{""themes"": null}",1.2314469814300537,"{""themes"": null}",1.2294971942901611,"{""themes"": null}",1.2314600944519043,"{""themes"": null}",1.2325308322906494,"{""themes"": null}",1.2322299480438232,"{""themes"": null}",1.2322900295257568,"{""themes"": null}",1.228261947631836,"{""themes"": null}",1.2318940162658691,"{""themes"": null}",1.2322959899902344,"{""themes"": null}",1.2305541038513184,"{""themes"": null}",1.2338292598724365,"{""themes"": null}",1.2293832302093506
"They are now 25 MLAs, down from the 28 elected in 2020 and only half of them have committed to running for re-election.",40,"{""themes"": null}",1.5152130126953125,"{""themes"": null}",1.51289701461792,"{""themes"": null}",1.513794183731079,"{""themes"": null}",1.5137739181518555,"{""themes"": ""governments_and_governance""}",2.121533155441284,"{""themes"": null}",1.5172269344329834,"{""themes"": null}",1.516455888748169,"{""themes"": null}",1.5123741626739502,"{""themes"": null}",1.5182170867919922,"{""themes"": null}",1.5152208805084229,"{""themes"": null}",1.5148348808288574,"{""themes"": null}",1.5157411098480225
"Zelensky and said, “You’re a savior of the people.”",41,"{""themes"": null}",1.2375757694244385,"{""themes"": null}",1.2339529991149902,"{""themes"": null}",1.2359952926635742,"{""themes"": null}",1.233792781829834,"{""themes"": ""governments_and_governance""}",1.8352091312408447,"{""themes"": null}",1.2372570037841797,"{""themes"": null}",1.234370231628418,"{""themes"": null}",1.2363488674163818,"{""themes"": null}",1.2391102313995361,"{""themes"": null}",1.2336492538452148,"{""themes"": ""international_affairs_and_defense""}",1.7481181621551514,"{""themes"": null}",1.2366890907287598
That issue is at the heart of current tensions between Canada and India.,42,"{""themes"": null}",1.2330188751220703,"{""themes"": null}",1.2317240238189697,"{""themes"": null}",1.2340338230133057,"{""themes"": null}",1.2309718132019043,"{""themes"": [""governments_and_governance""]}",1.835503101348877,"{""themes"": null}",1.2373721599578857,"{""themes"": null}",1.2333252429962158,"{""themes"": null}",1.2323288917541504,"{""themes"": null}",1.2354140281677246,"{""themes"": null}",1.230828046798706,"{""themes"": ""international_affairs_and_defense""}",1.747739315032959,"{""themes"": null}",1.233975887298584
London’s FTSE 100 and the STOXX 600 index of European equities were both up 1.1 per cent in early trading.,43,"{""themes"": null}",1.5146889686584473,"{""themes"": null}",1.5150620937347412,"{""themes"": null}",1.5113348960876465,"{""themes"": null}",1.5106041431427002,"{""themes"": null}",1.5174047946929932,"{""themes"": null}",1.5185000896453857,"{""themes"": null}",1.5139520168304443,"{""themes"": null}",1.5125062465667725,"{""themes"": ""economy_and_labour""}",1.9460351467132568,"{""themes"": null}",1.513988971710205,"{""themes"": null}",1.5137779712677002,"{""themes"": null}",1.5153961181640625
“It’s tough to play catchup off the back-to-backs.,44,"{""themes"": null}",1.2328567504882812,"{""themes"": null}",1.2305638790130615,"{""themes"": null}",1.230402946472168,"{""themes"": null}",1.2324028015136719,"{""themes"": null}",1.23335599899292,"{""themes"": null}",1.2364013195037842,"{""themes"": null}",1.2297000885009766,"{""themes"": null}",1.2323379516601562,"{""themes"": null}",1.2368383407592773,"{""themes"": null}",1.2328848838806152,"{""themes"": null}",1.232125997543335,"{""themes"": null}",1.2311921119689941
"The third process, counting of absentee ballots, is scheduled to start Monday at 9 a.m.",45,"{""themes"": null}",1.2370553016662598,"{""themes"": null}",1.2349879741668701,"{""themes"": null}",1.2469890117645264,"{""themes"": null}",1.2350568771362305,"{""themes"": ""null""}",1.3253848552703857,"{""themes"": null}",1.2406389713287354,"{""themes"": null}",1.2353367805480957,"{""themes"": null}",1.2345972061157227,"{""themes"": null}",1.2411901950836182,"{""themes"": null}",1.2373099327087402,"{""themes"": null}",1.2383570671081543,"{""themes"": null}",1.2364070415496826
Eric Reguly: Lebanon’s economy was in dire shape even before the Israel-Hezbollah war.,46,"{""themes"": null}",1.2385621070861816,"{""themes"": null}",1.235785961151123,"{""themes"": null}",1.23642897605896,"{""themes"": null}",1.2346608638763428,"{""themes"": ""null""}",1.3241991996765137,"{""themes"": null}",1.2419037818908691,"{""themes"": null}",1.2361416816711426,"{""themes"": null}",1.2347886562347412,"{""themes"": ""economy_and_labour""}",1.6683318614959717,"{""themes"": null}",1.2390317916870117,"{""themes"": ""international_affairs_and_defense""}",1.7541110515594482,"{""themes"": null}",1.236811637878418
