body,body_id_for_llm,qwen,qwen_inference_time
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": [""public_lands_and_agriculture"", ""health_and_social_services""]}",3.165597917046398
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": [""health_and_social_services"", ""international_affairs_and_defense""]}",2.7753007910214365
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": [""law_and_crime""]}",1.7263510420452803
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": [""international_affairs_and_defense"", ""rights_liberties_minorities_discrimination""]}",3.146972709102556
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": [""public_lands_and_agriculture"", ""economy_and_labour""]}",2.6754924168344587
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": [""governments_and_governance""]}",2.002401541918516
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": [""governments_and_governance""]}",2.286868874914944
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": [""law_and_crime""]}",1.7195892499294132
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": [""health_and_social_services""]}",1.7125704169739038
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": [""governments_and_governance"", ""international_affairs_and_defense""]}",2.7773281671106815
"“All things aside, it’s a pretty serious conversation,” Caufield said about wearing No.",37,"{""themes"": [""null""]}",1.4293373341206461
"There's a good chance she matches Lakatos right away, as Rivard has won the last two world titles in the 50m freestyle S10.",38,"{""themes"": [""null""]}",1.7118934579193592
He was always thoughtful and generous with his advice to me.,39,"{""themes"": null}",1.3280590411741287
"They are now 25 MLAs, down from the 28 elected in 2020 and only half of them have committed to running for re-election.",40,"{""themes"": [""governments_and_governance""]}",2.282913667149842
"Zelensky and said, “You’re a savior of the people.”",41,"{""themes"": [""international_affairs_and_defense""]}",1.904998416081071
That issue is at the heart of current tensions between Canada and India.,42,"{""themes"": [""international_affairs_and_defense""]}",1.906995041994378
London’s FTSE 100 and the STOXX 600 index of European equities were both up 1.1 per cent in early trading.,43,"{""themes"": [""economy_and_labour""]}",2.0952717079780996
“It’s tough to play catchup off the back-to-backs.,44,"{""themes"": [""null""]}",1.4281470000278205
"The third process, counting of absentee ballots, is scheduled to start Monday at 9 a.m.",45,"{""themes"": [""governments_and_governance""]}",2.004537000088021
Eric Reguly: Lebanon’s economy was in dire shape even before the Israel-Hezbollah war.,46,"{""themes"": [""economy_and_labour"", ""international_affairs_and_defense""]}",2.5808098749257624
Bastyovanszky also alleged the mayor’s office falsely claimed to city councillors and school trustees that he was under investigation by the integrity commissioner and that Sim sought to dissolve the park board because he was “unable to control decisions” of commissioners.,47,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.8709322919603437
"In late May, bullet holes were found in the door of a Jewish school and synagogue.",48,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.6780392918735743
"It added that firefighting had caused ""tremendous demand"" in the region — roughly quadruple the usual demand.",49,"{""themes"": [""public_lands_and_agriculture"", ""environment_and_energy""]}",2.4900489170104265
"Trudeau’s cabinet, acknowledged residents’ concerns about the drug-consumption site and its proximity to a school in a statement, but said Mr.",50,"{""themes"": [""health_and_social_services"", ""education""]}",2.2817425839602947
"In that case one of the victims is not talking to police and the other two are sedated, he said.",51,"{""themes"": [""law_and_crime""]}",1.7221866250038147
"Vice-President Kamala Harris says she'd find a place in her cabinet for a Republican if elected president, though she told CNN in a sit-down interview that she didn't have a specific individual in mind.",52,"{""themes"": [""governments_and_governance""]}",2.2903212499804795
"“Whatever political or ideological differences exist between us,” Carr wrote, “we have a larger collective responsibility to maintain a climate of respect  —  one free from hate and intimidation  —  on our campuses.”  jfeith@postmedia.com",53,"{""themes"": [""education"", ""rights_liberties_minorities_discrimination""]}",2.6815367499366403
• Expand services for students with dyslexia and other learning challenges.,54,"{""themes"": [""education""]}",1.4282802499365062
Biden's motivation for running was deeply intertwined with Trump.,55,"{""themes"": [""governments_and_governance"", ""international_affairs_and_defense""]}",2.763106167083606
"It also was the first power-play goal this season by a Montreal rearguard, and the first since Jan. 20, 2024, also scored by Matheson, during a 9-4 drubbing at Boston.",56,"{""themes"": [""null""]}",1.719326333841309
"Either result would have major implications for Canada, particularly on the economy and immigration but also on foreign policy.",57,"{""themes"": [""immigration"", ""economy_and_labour"", ""international_affairs_and_defense""]}",2.964003167115152
Just under half of respondents supported teenagers receiving gender-affirming care such as counselling and hormone replacement treatment with parental consent.,58,"{""themes"": [""health_and_social_services"", ""rights_liberties_minorities_discrimination""]}",2.6823602919466794
“That ultimately you need shared values.,59,"{""themes"": [""null""]}",1.4190900002140552
Angela Johnston has more on how it could play out.,60,"{""themes"": null}",1.328433332964778
"It has featured anti-Israel protests since the October 7 massacre, including last December, when two men were later arrested and charged (although charges against one of the men were later dropped).",61,"{""themes"": [""law_and_crime"", ""international_affairs_and_defense""]}",2.764048542128876
The crowds downtown will be thinning out if the TTC goes on strike.,62,"{""themes"": [""economy_and_labour""]}",1.8104226249270141
This newsletter is your weekly guide to what we’re doing about it.,63,"{""themes"": null}",1.3329056659713387
"Trump was injured after a shooting unfolded during a rally in Butler, Pa., on Saturday that left two people dead, including the shooter.",64,"{""themes"": [""law_and_crime""]}",1.7244973748456687
"Thursday’s byelection came with Ford’s PCs riding high in the Star’s August Abacus public opinion poll, with 42 per cent support despite challenges including an RCMP investigation into his government’s $8.28 billion Greenbelt land swap scandal.",65,"{""themes"": [""governments_and_governance"", ""law_and_crime"", ""public_lands_and_agriculture""]}",3.7350550000555813
“Users must be addressed in French.,66,"{""themes"": [""null""]}",1.4212099169380963
TRCA advises people to avoid all recreational activities in or around water as conditions can change rapidly.,67,"{""themes"": [""environment_and_energy"", ""health_and_social_services""]}",2.197440457995981
"She’s now looking at other options, even if they’re pricier.",68,"{""themes"": [""economy_and_labour"", ""health_and_social_services""]}",2.385130000067875
"But according to the law society's decision to provisionally suspend him, Cartel ""appears to have misled"" another lawyer who was trying to track down money on behalf of a client, did not take reasonable steps to investigate when faced with evidence his firm's finances were awry, and failed to deliver bank account statements demanded by a law society auditor.",69,"{""themes"": [""law_and_crime""]}",2.31294795894064
"He was inducted into the Canadian Business Hall of Fame in 1996 and into the U.S.-based Automotive Hall of Fame in 2018, and was made a member of the Order of Canada in 1999.",70,"{""themes"": [""economy_and_labour"", ""culture_and_nationalism""]}",2.774743458023295
A turn back toward the Harper years?,71,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",2.9546395409852266
The bank also projects that Ottawa’s deficit for this year will be bigger than initial projections.,72,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.6759723341092467
"""Where is she locating herself relative to other Canadian efforts?""",73,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",2.955398082965985
Community Facebook groups have been inundated with posts about smashed vehicle windows across the city recently.,74,"{""themes"": [""law_and_crime""]}",1.720144374994561
"The Canadian government said Kovrig and Spavor were political pawns, arbitrarily detained in response to the arrest of Chinese tech executive Meng Wanzhou in Vancouver at the request of the United States.",75,"{""themes"": [""law_and_crime"", ""international_affairs_and_defense""]}",2.7696596251334995
"Although Harris’ ascendency boosted Democrats’ enthusiasm and put Trump on the defensive in a race he had been expected to win easily against Biden, the vice-president was scrutinized over her plans for the country and whether she would truly represent a change from the unpopular Biden administration she served in.",76,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",3.2672345829196274
"A government spokesperson speaking on background said that the new measures apply to some firearms that were included in those initial amendments, while others were left out.",77,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.8684002910740674
A view of a stretch of the I-75 where northbound traffic is slowed due to residents trying to evacuate flood zones.,78,"{""themes"": [""public_lands_and_agriculture"", ""health_and_social_services""]}",2.588388124946505
Fifty-seven specialists did the same thing.,79,"{""themes"": null}",1.3272292918991297
"One of those other cars, a Chevrolet Tahoe, had been spotted the previous day by officers in the driveway of Abdelgadir’s home during an unrelated investigation, and was followed to a nearby mall.",80,"{""themes"": [""law_and_crime""]}",2.000582583947107
"“We can confirm that the fire has reached the Fairmont Jasper Park Lodge grounds, however, we are unclear on the extent of damage.”",81,"{""themes"": [""public_lands_and_agriculture"", ""environment_and_energy""]}",2.4917395419906825
"India also retaliated and announced it is expelling six Canadian diplomats, including acting High Commissioner Stewart Wheeler.",82,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",2.7780645838938653
“We assume with 100-per-cent reliability that we will turn on the tap and water will come out.,83,"{""themes"": [""public_lands_and_agriculture"", ""health_and_social_services""]}",2.5879276669584215
"Psychological harassment is “any vexatious behaviour in the form of repeated and hostile or unwanted conduct, verbal comments, actions or gestures, that affects an employee’s dignity or psychological or physical integrity and that results in a harmful work environment for the employee.”",84,"{""themes"": [""health_and_social_services"", ""economy_and_labour""]}",2.685659000184387
"Harris, in a statement said she was “glad” Trump was safe, adding “violence has no place in America.”",85,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.5886744579765946
"""He wanted to catch Arctic grayling,"" she said in the interview, saying he reassured her that there were lots of hunters and hikers in the area should he run into trouble.",86,"{""themes"": [""public_lands_and_agriculture"", ""health_and_social_services""]}",2.8630995000712574
The Liberals inherited what was arguably the world’s best immigration system and devalued it by allowing many more lower skilled and temporary workers into the country.,87,"{""themes"": [""immigration"", ""governments_and_governance""]}",2.6695657919626683
"“In regard to the mortgage reforms announced this morning, CMHC looks forward to implementing the changes when they come into effect,” a spokesperson said, with additional requests for comment directed to the Department of Finance.",88,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.9632098751608282
“The terrorist groups use illegal smuggling as part of their financing operations for doing bad things.,89,"{""themes"": [""law_and_crime""]}",1.7191362499725074
"Only two candidates so far have thrown their hats into the ring to succeed Trudeau — Liberal backbencher Chandra Arya from Ontario, and businessman Frank Baylis, a former Québec MP.",90,"{""themes"": [""governments_and_governance""]}",2.288259874796495
"With the TTC upgrading the Spadina streetcar right-of-way from now until December, the transit agency is resorting to the next best thing to keep people moving along the route.",91,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance"", ""economy_and_labour""]}",3.8261205840390176
"Conservatives have their work cut out for themselves as Canadians would like to see a quick economic turnaround, like that of their southern neighbours.",92,"{""themes"": [""economy_and_labour""]}",1.8223536659497768
"So like, how many investigations are currently ongoing involving government corruption?”",93,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.577225749846548
"Blocking the box might be downtown Toronto’s most ubiquitous traffic offence, as drivers force their way into busy intersections knowing they’ll still be blocking traffic when the light turns red, resulting in paralyzing gridlock.",94,"{""themes"": [""law_and_crime"", ""transport""]}",2.293983625015244
"She said in April: “Most legal scholars probably track most Americans, who didn’t want to overturn Roe.",95,"{""themes"": [""rights_liberties_minorities_discrimination""]}",2.1073628331068903
Conservatives have complained that it is not sufficiently independent from government.,96,"{""themes"": [""governments_and_governance""]}",2.004048833157867
An economist on Ottawa’s GST holiday.,97,"{""themes"": [""economy_and_labour""]}",1.808072250103578
"The bombing follows attacks last week when pagers and walkie talkies exploded across Lebanon, killing scores of people and wounding thousands including Hezbollah members.",98,"{""themes"": [""law_and_crime"", ""health_and_social_services""]}",2.574167874874547
"Four years ago, he tried to overturn his election defeat by Mr.",99,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.578701375052333
It’s not so much the caucus really that matters.,100,"{""themes"": [""governments_and_governance""]}",2.0004930831491947
Nor is the Pickering facility an outlier.,101,"{""themes"": [""environment_and_energy"", ""public_lands_and_agriculture""]}",2.4797927911859006
The next issue of Westcoast Homes will soon be in your inbox.,102,"{""themes"": [""null""]}",1.4311465418431908
"""Donald Trump, when he makes statements like that, he plans on carrying them out.",103,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.580049042124301
"The major battle in Baku is over how much rich nations will pay for developing countries to decarbonize their energy systems, cope with future harms of climate change and pay for damage from extreme weather.",104,"{""themes"": [""environment_and_energy"", ""international_affairs_and_defense"", ""economy_and_labour""]}",3.349255874985829
"A Mennonite father who killed his one-year-old son with an axe may be allowed to travel to parts of southern Ontario in the coming months, but a long-term plan for reintegration into his tight-knit community remains unclear.",105,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.9704320409800857
"The report released Wednesday by the Institut du Québec, a non-profit think tank, found that Quebec is not reducing its carbon emissions fast enough to meet the government’s goal of becoming carbon neutral by 2050 and that efforts to grow the economy will likely lead to an increase in greenhouse gas emissions.",106,"{""themes"": [""environment_and_energy"", ""economy_and_labour""]}",2.882591542089358
I was extremely relieved to learn that he was not seriously harmed.”,107,"{""themes"": null}",1.3334150000009686
"""That's your assessment,"" she said.",108,"{""themes"": null}",1.3278119589667767
“The fight for our freedom will take hard work.,109,"{""themes"": [""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",2.9614366670139134
"The total allowable catch for that fishery in 2023 was 12,999 tonnes.",110,"{""themes"": [""public_lands_and_agriculture""]}",2.012835833011195
"The central bank kicked off its interest rate easing cycle with back-to-back quarter-point rate cuts in June and July, bringing the policy rate down to 4.5 per cent after the most rapid tightening cycle in its history.",111,"{""themes"": [""economy_and_labour""]}",2.10009124991484
Brownstein drew a distinction in how Longueuil police and the Sûreté du Québec have responded to violence at protests compared with the SPVM in Montreal.,112,"{""themes"": [""law_and_crime""]}",1.9995300839655101
The Beer Store as well as local craft brewery bottle shops and wineries will remain open even if the LCBO strike goes ahead.,113,"{""themes"": [""public_lands_and_agriculture"", ""economy_and_labour""]}",2.685728999786079
"Officers notified Cheam First Nation, which determined the land had been leased by the owner to a waste management company that has run afoul of provincial environment laws in the past.",114,"{""themes"": [""law_and_crime"", ""environment_and_energy"", ""public_lands_and_agriculture""]}",3.34716425021179
"For American citizens, Jan. 20th, 2025 is Liberation Day.",115,"{""themes"": [""null""]}",1.434994458919391
"Labour Minister Steve MacKinnon met with the airline and union yesterday, Trudeau added, without offering further details.",116,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",2.679840749828145
He said jail officials had submitted affidavits suggesting what happened was “to protect order in the institution.”,117,"{""themes"": [""law_and_crime""]}",1.7223138329572976
Missaghi … threatening you explicitly or implicitly with violence or in the best case scenarios with a sort of Jihad in the court system.”,118,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.684880374930799
“I have good memories of this place.,119,"{""themes"": null}",1.3295985411386937
"“Without that knowledge, we struggle to hold our local governments and our provincial and federal counterparts accountable,” he said.",120,"{""themes"": [""governments_and_governance""]}",2.012242249911651
"“So much that you’ve worked towards and … you’ve built your life there … the kids, for example, that’s their home, right?",121,"{""themes"": [""immigration"", ""rights_liberties_minorities_discrimination""]}",2.762425458058715
"Once she submits an application, the department will let her know if more information is required.",122,"{""themes"": [""governments_and_governance"", ""immigration""]}",2.389499291079119
And while the New York Times opined in a headline the “Opening Ceremony Misses the Boat” — alluding to the fact it was held on the Seine — everyone was in agreement Dion was simply dazzling.,123,"{""themes"": [""culture_and_nationalism"", ""international_affairs_and_defense""]}",2.8699497911147773
Lawyers for the affected inmates are now making court applications to have charges stayed or sentences shortened in response to what they argue are blatant violations of their clients’ Charter rights.,124,"{""themes"": [""law_and_crime"", ""rights_liberties_minorities_discrimination""]}",2.960800291970372
"The Israeli military official said the area was not a tent complex, but an operational compound run by Hamas and that several more militants were there, guarding Deif.",125,"{""themes"": [""law_and_crime"", ""international_affairs_and_defense""]}",2.7662984170019627
"Richardson complained to the CPSO about Cho and a SickKids dermatologist, whose allegedly flawed opinion Cho had relied on.",126,"{""themes"": [""law_and_crime"", ""health_and_social_services""]}",2.303856125101447
"In his own book last year, Mr.",127,"{""themes"": [""null""]}",1.424979749834165
"After the Soviets invaded Afghanistan in December 1979, Carter decided to boycott the Summer Olympics in Moscow and asked the Senate to delay ratification of SALT II.",128,"{""themes"": [""international_affairs_and_defense"", ""governments_and_governance""]}",3.055145083228126
"He was not surprised by the ultimate decision of the body that grants these increasingly important documents:  “Since you are no longer of school age for the purposes of the application of Division I of Chapter VIII of the Charter of the French Language, no positive decision can be rendered with regard to any request you make at this time concerning your eligibility for instruction in English.”",129,"{""themes"": [""education"", ""rights_liberties_minorities_discrimination""]}",2.9881592080928385
Mendes says the Sahm Rule also tells us where the unemployment rate is headed.,130,"{""themes"": [""economy_and_labour""]}",1.8178567080758512
"Senators made it clear they thought the policy was ill-conceived, and at least one poll found Canadians weren’t rewarding the Liberals with more support because of it.",131,"{""themes"": [""governments_and_governance""]}",2.2865747078321874
"He also announced the Working Canadians Rebate — a plan to send $250 cheques this spring to every individual who worked in 2023 and made up to $150,000.",132,"{""themes"": [""economy_and_labour""]}",2.0996018750593066
"Dean Crawford, a lawyer for Ms.",133,"{""themes"": [""law_and_crime""]}",1.7108545422088355
"“If John Rustad doesn’t act, he is once again confirming that there is no consequence in his party for spreading hate.”",134,"{""themes"": [""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",2.9735462500248104
But it’s certainly a lot friendlier for buyers than it has been.”,135,"{""themes"": [""economy_and_labour""]}",1.814461249858141
"A woman holds her smartphone near an illuminated decoration on New Year's Eve in Seoul, South Korea, Tuesday, Dec.",136,"{""themes"": [""culture_and_nationalism"", ""technology""]}",2.1086353750433773
“We need to protect our volunteers.”,137,"{""themes"": [""health_and_social_services"", ""governments_and_governance""]}",2.572800250025466
"Elections Nova Scotia said the polling station didn’t open at 8 a.m., so it stayed open until 9 p.m.",138,"{""themes"": [""governments_and_governance""]}",2.0151394580025226
"It’s more serious, and I think that the people participating understand that ‘sacrifices’ have been made to ensure the ability to vote on this issue,” Waters said in an interview.",139,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",3.256244624964893
"We areworking closely with authorities and the implicated ranch to determine the possible cause,” saidCraig Slate, SunFed president, in the news release.",140,"{""themes"": [""law_and_crime"", ""public_lands_and_agriculture""]}",2.8651636668946594
It was previously held by former Trudeau cabinet minister David Lametti.,141,"{""themes"": [""governments_and_governance""]}",2.0031113328877836
"Canada’s deadliest listeria outbreak, at Maple Leaf Foods in Toronto, killed 24 people in 2008.",142,"{""themes"": [""health_and_social_services"", ""law_and_crime""]}",2.3052542079240084
“It appears the Canada Industrial Relations Board (CIRB) will have 72 hours to do its work before issuing a back to work order on Monday.,143,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",2.9627439158502966
An eighth system has been funded and ordered and is expected to be in the field some time next year.,144,"{""themes"": [""technology"", ""governments_and_governance""]}",2.301565625006333
"Reached by phone Wednesday, an NDP spokesperson said Ashton was in Quebec City ""to discuss language priorities"" because she's the party's critic for official languages and needed to ""find out things she needs to prioritize.""",145,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",3.2558668330311775
CTV News has learned Kaur’s brother and father are now in the province.,146,"{""themes"": [""immigration""]}",1.53029904095456
"Meanwhile, rumours are swirling of impending budget cuts at hospitals.",147,"{""themes"": [""health_and_social_services"", ""economy_and_labour""]}",2.3896723750513047
"Economic struggles, a mass importation of apples and last year’s woes has farmers feeling discouraged, the Ontario Apple Growers association says.",148,"{""themes"": [""public_lands_and_agriculture"", ""economy_and_labour""]}",2.958401791052893
"Some detransitioners are suing their doctors, alleging their desire for extreme interventions was never challenged and alternative options never offered.",149,"{""themes"": [""health_and_social_services"", ""rights_liberties_minorities_discrimination""]}",2.6871057089883834
"Ian Tostenson, president of the B.C.",150,"{""themes"": [""null""]}",1.4278028751723468
"Liberal MP Anita Vandenbeld said during the committee that she and all committee members care about the issue of gender-based violence, then called for a debate on a motion related to abortion rights, which the Liberals say would be at risk under a Conservative government.",151,"{""themes"": [""rights_liberties_minorities_discrimination"", ""governments_and_governance""]}",3.2636944998521358
He had to be ferried from Scarborough to a specialist at Toronto Western Hospital to be put in a coma.,152,"{""themes"": [""health_and_social_services""]}",1.7250988339073956
"Kelly Gordon of Romer’s Burger Bar says his restaurants’ patios have sat more empty than usual this month, due to untimely bouts of rainy and cold weather.",153,"{""themes"": [""public_lands_and_agriculture"", ""economy_and_labour""]}",2.965125208022073
"“We just wanted it more,” Jecho said.",154,"{""themes"": null}",1.3283405830152333
The officer was looking for the suspicious person when another officer hoisted him up so he could grab the edge of the roof.,155,"{""themes"": [""law_and_crime""]}",1.7277187081053853
"“The technology has improved so much, so it’s easier to do (stadiums).",156,"{""themes"": [""technology""]}",1.4325823751278222
"“No changes to the characterization of residual effects are anticipated as a result of the proposed changes,” said the partners in their route change filings to the B.C.",157,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",3.154674499994144
Conservative Leader John Rustad is pleased to have taken a party that barely existed 18 months ago to one that came within a couple seats of forming government.,158,"{""themes"": [""governments_and_governance""]}",2.287881749914959
Whoever wins the Liberal leadership race on March 9 will have just a couple of weeks to introduce themselves to Canadians as their new prime minister and turn the Liberals’ fortunes around before Parliament is set to return on March 24.,159,"{""themes"": [""governments_and_governance""]}",2.2978535830043256
Your weekly guide to what you need to know about federal politics and the minority Liberal government.,160,"{""themes"": [""governments_and_governance""]}",2.007075166096911
Toronto MP Nathaniel Erskine-Smith said Wednesday’s caucus discussions centred on the next steps the party needs to take to be election-ready and that the party’s leadership was not a focus of the talks.,161,"{""themes"": [""governments_and_governance""]}",2.293437832966447
"The U.S. president has framed the surcharges as a way to force a crackdown against people illegally crossing its borders, as well as to force stronger action to prevent the potent drug fentanyl from being smuggled between North American countries.",162,"{""themes"": [""law_and_crime"", ""governments_and_governance"", ""international_affairs_and_defense""]}",3.6409348340239376
"Eby acknowledged the tipping point for his decision was a fatal attack by a mentally ill man in Vancouver’s Downtown Eastside earlier this month, and the death of a 13-year-old girl from an overdose after her family were unable to get her into care when she refused.",163,"{""themes"": [""law_and_crime"", ""health_and_social_services""]}",2.5966978329233825
They have identified at least 272 people who purchased them over a two-year period.,164,"{""themes"": [""economy_and_labour""]}",1.817667875206098
Certain oysters have been recalled in three Canadian provinces following a suspected outbreak of norovirus in British Columbia that left dozens of people sick.,165,"{""themes"": [""health_and_social_services"", ""public_lands_and_agriculture""]}",2.8595850421115756
"The health, safety, rights and dignity of women are facing new threats.",166,"{""themes"": [""health_and_social_services"", ""rights_liberties_minorities_discrimination""]}",2.6756062090862542
The NDP currently leads in Surrey-Guildford by 27 votes while the Conservatives are ahead in Kelowna Centre by 38 votes.,167,"{""themes"": [""governments_and_governance"", ""elections""]}",2.673801040975377
"Thompson, 50, had been in the city from Minnesota since Monday.",168,"{""themes"": [""null""]}",1.4326065420173109
CBSA adds that a prescription from a doctor does not count as authorization from Health Canada.,169,"{""themes"": [""health_and_social_services"", ""law_and_crime""]}",2.2958094580098987
